"ENGR MECHANICS & ASTRONA","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","001","226","2.420","9.3","10.6","19.0","31.9","12.4","6.2","10.6",".",".",".",".",".",".",".",".","."
"","201","002","208","2.459","6.7","16.3","18.8","28.4","13.9","6.7","9.1",".",".",".",".",".",".",".",".","."
"Statics","","Course Total","434","2.439","8.1","13.4","18.9","30.2","13.1","6.5","9.9",".",".",".",".",".",".",".",".","."
"Dynamics","202","001","112","2.830","19.6","16.1","23.2","14.3","20.5","1.8","4.5",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","303","001","132","2.894","25.8","7.6","28.8","13.6","17.4","4.5","2.3",".",".",".",".",".",".",".",".","."
"","307","001","10","3.050",".","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307","002","7","2.929","14.3","28.6","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"","307","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","007","6","2.917",".",".","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307","008","9","3.056","11.1",".","77.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307","009","7","3.214","28.6",".","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307","010","6","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","012","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307","013","8","3.000","25.0",".","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307","014","11","3.000","9.1","18.2","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","","Course Total","88","3.057","12.5","18.2","45.5","20.5","1.1","2.3",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405","003","34","3.250","23.5","11.8","55.9","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471","002","21","2.976","19.0","19.0","33.3","14.3","4.8","9.5",".",".",".",".",".",".",".",".",".","."
"Composite Materials","508","001","6","3.417","16.7","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Aerodynamics Lab","522","001","16","3.250","18.8","31.3","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523","001","11","3.364",".","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545","001","37","3.068","27.0","18.9","27.0","10.8","8.1","8.1",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548","001","8","3.583","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".","12.5","12.5",".","."
"Astrodynamics","550","001","37","3.419","43.2","10.8","37.8","2.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569","001","24","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Special Topics: Engr Mech","601","002","19","3.632","42.1","42.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"FEM Model Validation","610","001","12","3.636","58.3","16.7",".","16.7",".",".",".","8.3",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611","001","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Continua","622","001","7","2.714","14.3","14.3","42.9","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"Satellite Dynamics","642","001","18","2.444",".","16.7","33.3","5.6","27.8","16.7",".",".",".",".",".",".",".",".",".","."
"","690","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Theory of Elasticity","700","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Cooperative Educ Program","702","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 125 of 430",""
