"TERM : 1154","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2014-2015","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"IES","","","","","","","","","","","","","","","","","","","","",""
"IES","College Total","1704","3.468","50.9","16.4","16.4","4.8","4.9","0.7","0.4","3.3","",".",".","",".","1.3","0.8",".","0.1","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"IES","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","87","3.284","28.7","29.9","24.1","5.7","11.5",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","276","3.365","47.5","18.8","19.6","5.4","6.2","1.8","0.7",".","",".",".","",".",".",".",".",".","."
"Junior","","333","3.412","45.0","21.0","20.4","6.0","6.0","0.6",".",".","",".",".","",".",".","0.9",".",".","."
"Senior","","658","3.457","51.2","17.5","18.1","5.5","5.0","0.8","0.8","0.6","",".",".","",".",".","0.6",".",".","."
"Undergraduates","","1354","3.415","47.5","19.4","19.4","5.6","5.9","0.9","0.5","0.3","",".",".","",".",".","0.5",".",".","."
"Special","","21","3.543","42.9",".","9.5","9.5",".",".",".","28.6","",".",".","",".",".","4.8",".","4.8","."
"Graduate","","324","3.837","65.1","5.2","4.6","1.2","0.9",".",".","14.2","",".",".","",".","7.1","1.5",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","5","4.000","80.0",".",".",".",".",".",".","20.0","",".",".","",".",".",".",".",".","."
"","College Total","1704","3.468","50.9","16.4","16.4","4.8","4.9","0.7","0.4","3.3","",".",".","",".","1.3","0.8",".","0.1","."
