"","990
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
029","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","21","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"ART HIST
180","Dept. Total","690","3.542","44.8","19.6","7.1","3.3","1.3","1.7","1.6","17.2",".",".",".","1.3","1.6",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","37","3.207","40.5","24.3","13.5","8.1",".","2.7","8.1",".",".",".",".",".","2.7",".",".","."
"Sophomore","","105","3.376","37.1","35.2","11.4","4.8","4.8","1.9","2.9","1.0",".",".",".",".","1.0",".",".","."
"Junior","","136","3.535","54.4","23.5","11.8","5.1","0.7","2.9","1.5",".",".",".",".",".",".",".",".","."
"Senior","","206","3.567","54.4","24.8","6.8","3.9","1.5","2.4","1.5","2.4",".",".",".","1.0","1.5",".",".","."
"Undergraduates","","484","3.484","49.6","26.7","9.7","4.8","1.9","2.5","2.3","1.2",".",".",".","0.4","1.0",".",".","."
"Special","","103","3.671","5.8","2.9","1.9",".",".",".",".","88.3",".",".",".",".",".",".","1.0","."
"Graduate","","103","3.977","61.2","2.9",".",".",".",".",".","21.4",".",".",".","6.8","5.8",".","1.9","."
"","Dept. Total","690","3.542","44.8","19.6","7.1","3.3","1.3","1.7","1.6","17.2",".",".",".","1.3","1.6",".","0.4","."
