"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PATH","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","78","3.202","26.9","23.1","24.4","17.9","6.4","1.3","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","166","3.351","34.9","29.5","18.7","10.2","3.6","3.0","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","248","3.305","32.7","27.4","20.2","12.9","4.4","2.4","",".",".","",".",".","",".",".","",".",".",".","."
"Special","7","3.400","28.6","28.6","42.9",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","196","3.580","36.7","7.1","7.1","0.5",".",".","",".","18.9","",".","17.9","",".","4.6","",".",".","7.1","."
"Prof Yr 1","118","3.127","15.3","28.0","33.1","16.1","6.8","0.8","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","","","20.0","",".","20.0","",".",".",".","."
"Prof Yr 4","30","3.974","60.0","3.3",".",".",".",".","",".","13.3","",".","6.7","",".","3.3","",".",".","13.3","."
"Professionals","153","3.217","25.5","22.2","25.5","12.4","5.2","0.7","",".","2.6","",".","2.0","",".","1.3","",".",".","2.6","."
