"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"OCC THER","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","3","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","8","3.938","87.5","12.5",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","16","3.844","75.0","18.8","6.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","28","3.857","75.0","21.4","3.6","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","225","3.850","80.9","16.0","3.1","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","254","3.851","80.3","16.5","3.1","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
