"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"","300
001","","37","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","","29","3.931","86.2","13.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods I","Course Total","","66","3.962","92.4","7.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","44","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","40","3.936","87.5","7.5","2.5",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","","84","3.958","91.7","6.0","1.2",".",".",".",".","1.2",".",".",".",".",".",".",".","."
"","303
001","","35","3.343","28.6","28.6","28.6","11.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"","303
002","","43","3.337","27.9","25.6","34.9","9.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","","78","3.340","28.2","26.9","32.1","10.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","365
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","17","3.778","94.1",".",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","650
001","","39","2.859","30.8","7.7","20.5","20.5","10.3","2.6","7.7",".",".",".",".",".",".",".",".","."
"","651
001","","38","3.276","36.8","26.3","13.2","13.2","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","651
002","","22","3.100","13.6","27.3","31.8","9.1","4.5","4.5",".","9.1",".",".",".",".",".",".",".","."
"Actuarial Mathematics II","Course Total","","60","3.216","28.3","26.7","20.0","11.7","5.0","5.0",".","3.3",".",".",".",".",".",".",".","."
"Loss Models I","652
001","","25","3.300","52.0","12.0","16.0","8.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Loss Models II","653
001","","44","3.216","25.0","29.5","20.5","22.7",".",".","2.3",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","","26","3.250","30.8","26.9","23.1","15.4",".",".","3.8",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","","439","3.340","54.0","16.6","14.8","8.9","2.5","1.1","1.4","0.7",".",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","","92","3.570","69.6","12.0","14.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","138","3.366","60.9","16.7","12.3","5.8","2.2","0.7","1.4",".",".",".",".",".",".",".",".","."
"Senior","","","166","3.283","43.4","20.5","14.5","12.0","4.2","1.8","2.4","1.2",".",".",".",".",".",".",".","."
"Undergraduates","","","398","3.363","55.8","17.1","13.6","8.0","2.5","1.0","1.5","0.5",".",".",".",".",".",".",".","."
"Special","","","36","3.034","30.6","13.9","27.8","19.4","2.8","2.8",".","2.8",".",".",".",".",".",".",".","."
"Graduate","","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","","439","3.340","54.0","16.6","14.8","8.9","2.5","1.1","1.4","0.7",".",".",".",".",".",".",".","."
