"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","405","3.155","30.9","21.2","25.2","6.2","10.4","5.2","0.7",".",".",".",".",".",".","0.2",".","."
"","102
001","34","2.941","17.6","5.9","29.4","41.2","5.9",".",".",".",".",".",".",".",".",".",".","."
"","002
102","34","3.191","23.5","17.6","35.3","20.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"","102
003","40","3.213","27.5","15.0","35.0","17.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","40","3.050","15.0","22.5","32.5","17.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","148","3.101","20.9","15.5","33.1","23.6","6.8",".",".",".",".",".",".",".",".",".",".","."
"","299
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","256","3.104","28.1","11.3","32.8","15.6","10.2","0.4","1.6",".",".",".",".",".",".",".",".","."
"","304
001","39","3.192","25.6","12.8","43.6","10.3","7.7",".",".",".",".",".",".",".",".",".",".","."
"","304
002","39","3.218","25.6","20.5","41.0","2.6","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"","003
304","39","3.231","25.6","17.9","41.0","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","004
304","35","3.300","31.4","20.0","34.3","5.7","8.6",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","152","3.234","27.0","17.8","40.1","6.6","7.9","0.7",".",".",".",".",".",".",".",".",".","."
"","305
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","10","3.450","70.0",".","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","305
003","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","61","3.877","90.2","3.3","3.3","1.6",".","1.6",".",".",".",".",".",".",".",".",".","."
"Host-Parasite Interactions","330
001","60","3.009","31.7","15.0","25.0","6.7","8.3","3.3","6.7","1.7",".",".",".",".",".",".","1.7","."
"Special Topics","375
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Microbiology","425
001","22","3.545","59.1",".","36.4",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microorg","450
001","79","3.120","31.6","5.1","39.2","8.9","12.7","2.5",".",".",".",".",".",".",".",".",".","."
"","470
001","51","3.235","31.4","25.5","19.6","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","002
470","30","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","Course Total","81","3.346","32.1","30.9","22.2","3.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"Soil Microbiology & Biochem","523
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","58","2.991","25.9","25.9","17.2","3.4","13.8","12.1",".","1.7",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
001","27","3.352","29.6","25.9","40.7",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"","002
551","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","26","3.481","46.2","19.2","30.8",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"","551
004","16","3.750","75.0","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","87","3.557","51.7","18.4","26.4","1.1",".","2.3",".",".",".",".",".",".",".",".",".","."
"","699
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 10 of 430"
