"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Econ Approach Current Issues","100
002","24","3.043","29.2","25.0","16.7","8.3","8.3",".","8.3","4.2",".",".",".",".",".",".",".","."
"","101
001","287","3.169","26.5","20.9","26.5","15.7","9.1","1.0","0.3",".",".",".",".",".",".",".",".","."
"","002
101","215","2.939","21.4","22.3","19.5","17.7","9.8","5.1","3.3","0.5",".",".",".",".","0.5",".",".","."
"","003
101","292","3.109","19.5","29.1","23.3","15.8","8.6","2.4","0.7","0.3",".",".",".",".","0.3",".",".","."
"","004
101","262","3.180","24.0","30.2","22.9","12.6","6.1","2.7","1.1",".",".",".",".",".","0.4",".",".","."
"Principles-Microeconomics","Course Total","1056","3.108","22.9","25.8","23.3","15.3","8.3","2.7","1.2","0.2",".",".",".",".","0.3",".",".","."
"","102
001","207","2.961","18.4","21.3","26.6","17.4","8.7","6.3","1.0",".",".",".",".",".",".",".","0.5","."
"","102
002","205","2.776","16.6","16.6","20.0","20.5","18.0","5.9","2.4",".",".",".",".",".",".",".",".","."
"","102
003","218","2.954","20.2","18.8","23.4","16.1","17.9","1.4","1.8",".",".",".",".",".",".","0.5",".","."
"Principles-Macroeconomics","Course Total","630","2.898","18.4","18.9","23.3","17.9","14.9","4.4","1.7",".",".",".",".",".",".","0.2","0.2","."
"Prin/Econ-Accelratd Treatmt","111
001","33","3.379","45.5","12.1","24.2","15.2",".","3.0",".",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","16","3.250","37.5","18.8","6.3","31.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","002
300","12","3.375","41.7","8.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","28","3.304","39.3","14.3","17.9","25.0","3.6",".",".",".",".",".",".",".",".",".",".","."
"","301
001","163","2.840","20.2","13.5","21.5","25.8","11.0","4.9","3.1",".",".",".",".",".",".",".",".","."
"","002
301","145","2.831","18.6","13.8","23.4","18.6","20.7","2.1","2.8",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","308","2.836","19.5","13.6","22.4","22.4","15.6","3.6","2.9",".",".",".",".",".",".",".",".","."
"","302
001","104","2.788","22.1","16.3","12.5","24.0","11.5","12.5","1.0",".",".",".",".",".",".",".",".","."
"","302
002","118","2.906","18.6","21.2","19.5","19.5","11.9","8.5",".",".",".",".",".",".","0.8",".",".","."
"","003
302","122","3.664","49.2","36.1","13.9",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","344","3.140","30.5","25.0","15.4","14.0","7.8","6.7","0.3",".",".",".",".",".","0.3",".",".","."
"Developmnt-Economic Thought","305
001","31","3.466","41.9","16.1","25.8","6.5","3.2",".",".",".",".",".",".",".",".","3.2",".","3.2"
"The Real Estate Process","306
001","64","2.797","12.5","12.5","34.4","18.8","15.6","4.7","1.6",".",".",".",".",".",".",".",".","."
"","310
001","100","3.140","19.0","21.0","39.0","13.0","7.0","1.0",".",".",".",".",".",".",".",".",".","."
"","310
002","155","3.010","16.1","23.2","26.5","20.0","12.3","1.3","0.6",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","255","3.061","17.3","22.4","31.4","17.3","10.2","1.2","0.4",".",".",".",".",".",".",".",".","."
"Intmed Macroecon-Adv Treatment","312
001","24","3.479","50.0","20.8","8.3","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
320","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","152","2.762","15.1","13.8","18.4","28.3","15.8","7.9",".",".",".",".",".",".","0.7",".",".","."
"Environmental Economics","343
001","76","2.926","14.5","23.7","26.3","14.5","17.1","2.6","1.3",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","154","3.019","22.1","18.2","22.1","23.4","12.3","0.6","1.3",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Economic Decision Analysis","421
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Macroeconomic Policy","442
001","34","3.368","38.2","20.6","29.4","5.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450
001","128","3.047","14.8","25.8","30.5","16.4","10.2","2.3",".",".",".",".",".",".",".",".",".","."
"Behavioral Economics","455
001","125","3.142","32.8","13.6","28.0","8.0","12.8","4.0",".",".",".",".",".",".",".","0.8",".","."
"Economic Forecasting","460
001","39","3.551","30.8","51.3","15.4","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464
001","118","3.040","18.6","16.9","34.7","16.9","11.0","1.7",".",".",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468
001","85","3.257","29.4","23.5","25.9","11.8","9.4",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 211 of 430",""
