"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150","001","","74","3.726","67.6","13.5","12.2","5.4",".",".",".",".",".",".",".",".","1.4",".",".","."
"150","002","","24","3.604","45.8","37.5","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","Course Total","","98","3.696","62.2","19.4","11.2","6.1",".",".",".",".",".",".",".",".","1.0",".",".","."
"300","001","","29","3.810","65.5","31.0","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","51","3.892","80.4","17.6","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","21","3.643","52.4","33.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"399","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","11","3.789","63.6","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"412
History-American Education","001","","70","3.357","28.6","35.7","25.7","4.3","4.3",".","1.4",".",".",".",".",".",".",".",".","."
"505
Issues in Urban Education","001","","29","3.704","58.6","17.2","13.8","3.4",".",".",".","3.4",".",".",".",".","3.4",".",".","."
"567
History of African-Amer Educ","001","","16","3.962","75.0","6.3",".",".",".",".",".",".",".",".",".",".","18.8",".",".","."
"600","001","","16","3.607","43.8","31.3",".","12.5",".",".",".","6.3",".",".",".",".","6.3",".",".","."
"600","002","","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Educ Pol","Course Total","","34","3.724","61.8","23.5","2.9","5.9",".",".",".","2.9",".",".",".",".","2.9",".",".","."
"622
Hist-Rad&Expermntl Ed in US&UK","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
Intro to Comparatv & Intl Educ","001","","21","3.765","42.9","38.1",".",".",".",".",".",".",".",".",".",".","19.0",".",".","."
"699
Independent Reading","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719
Intro to Qualitative Research","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"750
African Ed-Past,Pres&Future","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"780","002","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780","003","","18","3.906","72.2","16.7",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Special Topics in Educ Policy","Course Total","","37","3.943","83.8","10.8",".",".",".",".",".",".",".",".",".",".","5.4",".",".","."
"788
Qual Rsch Mthds-Educ: Field I","001","","9","3.875","77.8",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"789
Qual Rsch Mthds-Educ: Field II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"906
Prosem-History of Education","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Seminar in Urban Education","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"970
Smr-Anthropology&Education","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","11","",".",".",".",".",".",".",".","72.7",".",".",".",".","27.3",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
