"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","122","3.840","85.2","2.5","4.9","4.1",".",".","0.8","2.5",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","42","2.881","11.9","14.3","33.3","23.8","14.3","2.4",".",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","108","3.514","29.6","47.2","17.6","4.6",".",".",".","0.9",".",".",".",".",".",".",".","."
"Global Phys Environments","120","001","38","3.079","18.4","26.3","26.3","15.8","10.5","2.6",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","84","3.548","57.1","13.1","22.6","1.2","3.6","2.4",".",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","91","3.016","22.0","15.4","34.1","5.5","20.9","2.2",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","12","3.227","8.3","41.7","33.3",".","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"Insects and Human Culture","201","001","22","3.705","63.6","27.3",".","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","14","3.179","50.0","7.1",".","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","24","3.326","33.3","33.3","12.5","4.2","8.3","4.2",".",".",".",".",".",".",".",".","4.2","."
"Intro to Sustainability Sci","250","001","44","3.442","34.1","31.8","22.7","4.5","4.5",".",".",".",".",".",".",".","2.3",".",".","."
"Introductory Ecology","260","001","21","2.714","4.8","19.0","23.8","19.0","33.3",".",".",".",".",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","23","3.932","82.6","13.0",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"People, Land and Food","309","001","38","3.392","39.5","23.7","15.8","10.5","7.9",".",".",".",".",".",".",".","2.6",".",".","."
"Global Warming:Science&Impacts","332","001","23","2.727","21.7","13.0","17.4","13.0","17.4","8.7","4.3","4.3",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","47","3.098","21.3","12.8","40.4","10.6","12.8",".",".","2.1",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","30","3.131","26.7","20.0","26.7","13.3","10.0","3.3",".",".",".",".",".",".",".",".",".","."
"History of Ecology","353","001","8","2.938","62.5","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","24","3.083","29.2","8.3","29.2","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","18","2.778","22.2","22.2","11.1","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Inter Envir Remote Sensing","372","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","001","10","3.300","20.0","20.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","002","7","3.143",".","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","13","3.909","76.9",".","7.7",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"","400","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","","Course Total","34","3.573","47.1","11.8","35.3",".",".",".",".","2.9",".",".",".",".","2.9",".",".","."
"Topics: Env Perspctve-Phys Sci","401","001","16","3.688","87.5",".","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","402","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","20","3.900","95.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","402","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","004","21","3.421","33.3","28.6","19.0",".","9.5",".",".",".",".",".",".",".","9.5",".",".","."
"","402","006","12","3.818","83.3",".",".",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"","402","008","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","009","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","011","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","114","3.730","81.6","8.8","3.5",".","3.5",".",".","0.9",".",".",".",".","1.8",".",".","."
"Topics in Envir: Humanistic","404","005","25","3.680","52.0","32.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law and Environment","430","001","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","134","3.481","34.3","33.6","26.1","3.7","1.5",".",".",".",".",".",".",".","0.7",".",".","."
"Intro-Environmental Health","471","001","77","3.558","48.1","18.2","32.5",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 159 of 430",""
