"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"Intro-Theory of Probability","Course Total","","11","3.227","45.5",".","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"475
Intro-Combinatorics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"479
Spec Topics in Stats","001","","45","3.750","73.3","6.7","11.1","6.7",".",".",".",".",".",".",".",".",".","2.2",".","."
"525
Linear Programming Methods","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"542
Intro to Clinical Trials I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"572","001","","69","3.522","31.9","37.7","27.5",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"572","002","","27","3.519","44.4","25.9","22.2","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","Course Total","","96","3.521","35.4","34.4","26.0","1.0","1.0",".",".","2.1",".",".",".",".",".",".",".","."
"610","001","","28","3.625","53.6","21.4","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"610","002","","27","3.444","33.3","29.6","33.3",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","Course Total","","55","3.536","43.6","25.5","27.3","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"632","001","","6","3.600","50.0",".","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"632","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","9","3.375","33.3","11.1","33.3","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"642
Statistcl Mthds-Epidemiolgy","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","261","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","299","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Special Topics-Statistics","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698
Directed Study","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","261","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Mathematical Statistics","001","","18","3.778","72.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"734
Theory of Probability II","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"741
Survival Analysis Thry & Mthds","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Decision Trees-Multivar Anal","001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"771
Statistical Computing","001","","32","3.759","46.9","34.4","3.1",".",".",".",".","15.6",".",".",".",".",".",".",".","."
"775
Intro-Bayesian Decisn&Cntrl","001","","16","3.667","56.3","25.0","6.3",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"850
Thry&Appl-Regres&Anal VarII","001","","39","3.603","33.3","53.8","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 328 of 430",""
