"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102
001","14","3.692","57.1","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","7.1","."
"Intro-Mus Cult of the World","103
001","59","3.741","50.8","44.1","3.4",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","28","3.482","57.1","14.3","10.7","10.7","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"Global Language Issues","211
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","21","3.381","52.4","19.0","19.0",".",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"In Transl:Scand Tale&Ballad","345
001","7","3.333","28.6","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".","14.3",".","."
"Javanese Performance Repertory","421
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"American Indian Folklore","431
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sami Culture,Yesterday & Today","443
001","44","3.716","75.0","6.8","15.9",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Supernaturl in Modern World","451
001","17","3.059","29.4","11.8","17.6","23.5","17.6",".",".",".",".",".",".",".",".",".",".","."
"Women, Culture and Folklore","467
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Public Folklore","Course Total","3","***","","","","","","","","","","","","","","","",""
"Folklore Theory","510
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Irish Tradition","517
001","26","3.635","46.2","34.6","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","522
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Digitally Doc Everyday Comm","Course Total","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Folklore","530
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"FOLKLORE
380","Dept. Total","250","3.600","56.8","23.2","12.0","3.2","2.0","0.8","0.8","0.4",".",".",".",".",".","0.4","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","19","3.615","36.8","52.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","56","3.716","60.7","26.8","8.9","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","50","3.484","52.0","26.0","12.0","4.0","2.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"Senior","","110","3.561","55.5","18.2","16.4","2.7","3.6","0.9","0.9","0.9",".",".",".",".",".","0.9",".","."
"Undergraduates","","235","3.578","54.5","24.7","12.8","3.4","2.1","0.9","0.9","0.4",".",".",".",".",".","0.4",".","."
"Special","","5","***","","","","","","","","","",".",".",".",".",".","20.0","."
"Graduate","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","250","3.600","56.8","23.2","12.0","3.2","2.0","0.8","0.8","0.4",".",".",".",".",".","0.4","0.4","."
