"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","",""
"","100","001","144","3.417","29.9","30.6","28.5","4.9","1.4","0.7",".","1.4",".",".",".",".","2.8",".",".","."
"","100","002","138","3.083","12.3","31.2","29.7","18.8","5.8","2.2",".",".",".",".",".",".",".",".",".","."
"General Geology","","Course Total","282","3.250","21.3","30.9","29.1","11.7","3.5","1.4",".","0.7",".",".",".",".","1.4",".",".","."
"Survey of Oceanography","105","001","24","3.425","45.8","8.3","12.5","12.5",".","4.2",".","16.7",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","78","3.118","19.2","28.2","21.8","20.5","3.8","3.8",".","2.6",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","202","2.902","26.7","10.4","27.2","7.9","17.3","6.4","2.5","1.5",".",".",".",".",".",".",".","."
"Sci Behind News-Wrld Around Us","115","001","146","2.944","17.8","12.3","36.3","13.7","15.1","2.7","0.7","0.7",".",".",".",".",".","0.7",".","."
"Monitoring Earth by Satellite","118","001","58","3.079","20.7","20.7","36.2","8.6","6.9","3.4","1.7",".",".",".",".",".",".","1.7",".","."
"Life in the Universe","160","001","35","2.871","14.3","22.9","20.0","20.0","20.0",".","2.9",".",".",".",".",".",".",".",".","."
"","199","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Geologic Evolution of Earth","204","001","83","2.817","9.6","21.7","24.1","19.3","21.7",".","2.4",".",".",".",".",".","1.2",".",".","."
"Geomorphology","320","001","20","3.300","20.0","35.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","198","3.291","29.3","29.3","19.7","13.1","6.6","1.0",".","1.0",".",".",".",".",".",".",".","."
"Intro Geophysics:Dynmic  Earth","350","001","26","3.980","92.3","3.8",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Elementary Petrology","370","001","61","2.967","37.7","9.8","16.4","9.8","13.1","11.5","1.6",".",".",".",".",".",".",".",".","."
"Principles of Geochemistry","375","001","18","3.118","27.8","11.1","22.2","22.2","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"Topics in Geology","376","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Structural Geology","455","001","39","2.679","17.9","7.7","25.6","20.5","15.4","10.3","2.6",".",".",".",".",".",".",".",".","."
"Conducted Field Trip","457","001","15","3.467","33.3","26.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474","001","11","3.182","27.3","9.1","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Econ Geology","515","001","14","3.269","21.4","28.6","28.6","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Contaminant Hydrogeology","629","001","18","3.313","22.2","22.2","38.9",".","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","692","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","13","3.875","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Hydrogeology","727","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crystal Chemistry","765","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 231 of 430",""
