"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"","102
001","","10","3.600","70.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","102
003","","20","3.625","60.0","10.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","","9","3.750","66.7",".","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"2nd Semester Russian","Course Total","","39","3.645","64.1","10.3","17.9","2.6",".","2.6",".","2.6",".",".",".",".",".",".",".","."
"Second Semester Polish","112
001","","12","3.542","50.0","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Czech","116
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Semester Serbo-Croatian","142
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav102","182
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","204
001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","16","3.719","68.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Russian","Course Total","","29","3.707","62.1","20.7","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Literatures","245
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253
001","","21","3.762","71.4","19.0","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","276
001","","13","3.500","46.2","23.1",".","23.1",".",".",".","7.7",".",".",".",".",".",".",".","."
"","002
276","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Russian II","Course Total","","24","3.565","45.8","29.2","8.3","12.5",".",".",".","4.2",".",".",".",".",".",".",".","."
"Slavic Culture in Context","285
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Lang & Culture II","316
001","","17","3.719","47.1","41.2","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Fourth Year Russian II","322
001","","16","3.656","56.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Uvod u srpsku i hrvtsku lit","342
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem Intensive Czech","352
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gogol","421
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dostoevsky","422
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Russian Culture","434
001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","8","3.889","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","3.941","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russian Modernism","708
001","","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","799
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","900
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
900","","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Seminar: Slavic Lit & Culture","Course Total","","14","3.857","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","991
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 312 of 430",""
