"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Administrative Law","420
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Health Care","548
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Affairs Seminar Series","802
001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Energy Analysis Seminar","810
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Stat Meths-Pub Pol Anal","819
001","","25","3.440","36.0","16.0","48.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pol Econ-Corruptn&Good Governc","857
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Int'l Public Affairs","860
001","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmentl Governance","866
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","869
001","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
002","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Affairs","Course Total","","41","3.927","85.4","14.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
002","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
873","","12","3.375","33.3","25.0","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","Course Total","","38","3.711","60.5","26.3","7.9","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Policy-Making Process","874
001","","35","3.786","74.3","14.3","5.7","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprofit Leadership","887
001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Budgeting","892
001","","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
001","","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
003","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
004","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","47","3.755","55.3","40.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
