"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","854
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
005","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
006","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
008","17","",".",".",".",".",".",".",".","76.5",".",".",".",".",".",".",".","23.5"
"","854
009","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","012
854","6","",".",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","33.3"
"","013
854","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"","854
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","016
854","11","",".",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","18.2"
"","854
017","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","018
854","24","",".",".",".",".",".",".",".","95.8",".",".",".",".","4.2",".",".","."
"","019
854","15","",".",".",".",".",".",".",".","93.3",".",".",".",".",".",".",".","6.7"
"","020
854","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","021
854","9","",".",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","22.2"
"","854
022","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinical Program","Course Total","186","",".",".",".",".",".",".",".","90.9",".",".",".",".","0.5",".",".","8.6"
"Advanced Criminal Procedure","860
001","10","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","20.0"
"Institutionalized Persons","862
001","21","",".",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","28.6"
"International Tax","870
001","8","1.875","12.5",".","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","55","4.000","1.8",".",".",".",".",".",".","94.5",".",".",".",".","3.6",".",".","."
"Wisconsin Journal of Law","896
001","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","79","",".",".",".",".",".",".",".","98.7",".",".",".",".",".",".",".","1.3"
"Constitutional Law Seminar","904
001","18","1.294","5.6",".","33.3",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Law, Sci & Biotechnolgy Smr","906
001","19","1.278","10.5",".","26.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","915
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","918
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","918
002","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","Course Total","11","1.000","9.1",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"Problems- Land Law Seminar","928
001","7","2.286","28.6",".","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Health Law & Admin Seminar","935
001","27","1.404","22.2","3.7","7.4",".","3.7","3.7",".","3.7",".",".",".",".",".",".",".","."
"","940
001","36","1.361","13.9",".","25.0",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"","940
002","32","1.717","21.9","3.1","18.8",".","3.1",".",".","6.3",".",".",".",".",".",".",".","."
"","940
003","11","0.517",".",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
004","8","1.250","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
007","10","1.600","10.0",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
008","19","1.368","10.5",".","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
940","22","1.364","13.6",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 344 of 430",""
