"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","300
001","91","3.700","54.9","33.0","7.7","2.2","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"","300
002","88","3.926","86.4","12.5","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","179","3.812","70.4","22.9","4.5","1.1","0.6",".",".","0.6",".",".",".",".",".",".",".","."
"Behav Anal:Person-Disabilty","330
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"AAC and Assistive Tech","401
001","48","3.917","91.7","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Functional Skills","402
003","32","3.922","93.8","3.1",".",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science & Soc Studies","404
002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Inst for Stdt with Dis","465
001","37","3.973","94.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary Student Teaching Smr","468
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods in Transtn & Voc Educ","472
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt: Stdts/Lrn&Bhv Disability","473
001","37","3.770","56.8","40.5","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","23","3.893","91.3","4.3",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","475
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Practicum: MC - EA","Course Total","24","3.900","91.7","4.2",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Sp Ed Student Teaching: MC-EA","477
001","25","3.919","96.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Sp Ed Student Teaching: EA-A","478
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Rehab-Cnslg Psych: Applcatn","Course Total","40","3.936","85.0","12.5",".",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"Rehab Psych-Medical Aspects","550
001","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
020","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
192","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
193","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
194","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
195","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","76","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Career Couns & Job Placemnt","001
725","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Ethical Bases - Coun&Psy","735
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
