"Regenerative Medicine Ethics","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ethical Issues in Medicine","730
002","10","3.688","30.0","50.0",".",".",".","",".","",".",".","",".","",".",".","",".","","",".",".","20.0","."
"Grad Studies in Med Ethics","734
001","1","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Advanced Independent Study","999
002","1","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"MED HIST
452","Dept. Total","330","3.420","30.3","30.6","32.4","5.5","0.3","",".","",".","",".","",".",".","",".","",".","",".",".","0.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","3.429","42.9","14.3","28.6","14.3",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","45","3.422","26.7","35.6","33.3","4.4",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","106","3.288","20.8","26.4","43.4","8.5","0.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","149","3.470","33.6","32.9","29.5","4.0",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","307","3.398","28.3","30.6","34.9","5.9","0.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".","33.3","."
"Graduate","","6","3.912","83.3","16.7",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".","40.0","."
"Prof Yr 2","","6","3.750","33.3","66.7",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","14","3.875","50.0","35.7",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","14.3","."
"","Dept. Total","330","3.420","30.3","30.6","32.4","5.5","0.3","",".","",".","",".","",".",".","",".","",".","",".",".","0.9","."
