"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","30","3.083","10.0","36.7","30.0","6.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","41","3.813","65.9","26.8","4.9",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","131","3.408","29.8","38.9","20.6","9.2",".","0.8","0.8",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","37","3.149","18.9","27.0","29.7","13.5","10.8",".",".",".",".",".",".",".",".",".",".","."
"361
Materials Laboratory II","001","","35","3.786","71.4","17.1","8.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"401","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","003","","23","3.870","87.0",".","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","46","3.836","82.6","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"421
Polymeric Materials","001","","40","3.263","17.5","35.0","32.5","12.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"462
Welding Metallurgy","001","","20","3.475","45.0","20.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"471
Capstone Project II","001","","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"474
Rock Mechanics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","24","3.542","29.2","50.0","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"553
Nanomaterials & Nanotechnology","001","","40","3.718","60.0","20.0","17.5",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Grad Cooperative Educ Program","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"748
Structural Analysis-Materials","001","","18","3.389","22.2","55.6","16.7",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"758
Trans Electron Microscopy Lab","001","","17","",".",".",".",".",".",".",".","76.5",".",".",".",".","17.6","5.9",".","."
"790","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","19","",".",".",".",".",".",".",".","47.4",".",".",".","52.6",".",".",".","."
"803","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","004","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
