"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","",""
"Structure of English","314
001","","16","3.233","31.3","31.3","12.5",".","12.5","6.3",".",".",".",".",".",".","6.3",".",".","."
"English Phonology","315
001","","19","3.658","63.2","15.8","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"18th-Century English Novel","336
001","","29","3.690","44.8","48.3","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Poetry","373
001","","19","3.447","31.6","31.6","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Composition","400
001","","14","3.679","64.3","21.4","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","408
001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
408","","15","3.400","46.7","26.7","20.0",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","408
003","","16","3.656","68.8","12.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","004
408","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Fiction","Course Total","","60","3.617","56.7","25.0","13.3","1.7","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"","001
409","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","409
002","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Poetry","Course Total","","28","3.804","67.9","25.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Playwriting","410
001","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","415
001","","18","3.833","94.4",".",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"English in Society","416
001","","37","3.919","91.9",".","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","","17","3.618","52.9","17.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
420","","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Topics-English Lang & Linguis","Course Total","","23","3.659","52.2","21.7","21.7",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","422
001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","","9","3.556","33.3","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Figure(s) in Lit before 1800","Course Total","","19","3.711","57.9","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Medieval Literature","423
001","","28","3.500","46.4","28.6","17.9",".","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","427
001","","13","2.923","15.4","15.4","53.8",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Later Works of Shakespeare","432
001","","29","3.304","31.0","24.1","27.6","6.9","3.4","3.4",".","3.4",".",".",".",".",".",".",".","."
"Spenser","433
001","","13","3.818","53.8","30.8",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Milton","434
001","","21","3.548","28.6","57.1","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in 19th-Century Brit Lit","444
001","","30","3.086","30.0","13.3","36.7","3.3","3.3","6.7","3.3",".",".",".",".",".","3.3",".",".","."
"James Joyce","454
001","","24","3.452","37.5","20.8","16.7","8.3","4.2",".",".","8.3",".",".",".",".","4.2",".",".","."
"Topic in 19th-Century Amer Lit","456
001","","20","3.375","35.0","25.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","457
001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
457","","26","3.712","61.5","19.2","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in American Lit","Course Total","","39","3.756","66.7","17.9","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","461
001","","29","3.148","34.5","17.2","20.7","10.3","3.4",".","6.9","3.4",".",".",".",".","3.4",".",".","."
"","461
002","","29","3.589","41.4","34.5","17.2","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","Course Total","","58","3.373","37.9","25.9","19.0","6.9","1.7",".","3.4","3.4",".",".",".",".","1.7",".",".","."
"Topic in Asian American Lit","462
001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
001","","10","3.450","10.0","70.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
463","","13","3.462","38.5","15.4","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race & Sexuality in Amer Lit","Course Total","","23","3.457","26.1","39.1","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Contemporary Lit","474
003","","16","3.688","62.5","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Indian Writers Abroad","478
001","","9","3.750","55.6","22.2","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
