"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Educ in Animal Sci","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"110
Animal Handling","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"150
Career Orientation An/Poul Sci","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","140","2.850","20.0","19.3","21.4","13.6","16.4","6.4","2.9",".",".",".",".",".",".",".",".","."
"221
Adv Meat Animal Eval Lab","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Horse Science & Management","001","","15","3.200","6.7","53.3","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","3.870","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","41","3.098","19.5","19.5","39.0","9.8","9.8","2.4",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","60","3.325","35.0","18.3","33.3","10.0","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"313","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"313","002","","19","3.605","68.4","15.8","5.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","25","3.660","72.0","12.0","8.0",".","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"320
Animal Health & Disease Mgt","001","","62","3.202","30.6","16.1","33.9","8.1","8.1","3.2",".",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","58","3.181","41.4","5.2","34.5","3.4","8.6","5.2","1.7",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","34","2.912","20.6","8.8","32.4","20.6","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","23","3.348","47.8","13.0","21.7","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"373
Animal Physiology","001","","33","3.061","27.3","3.0","45.5","9.1","12.1","3.0",".",".",".",".",".",".",".",".",".","."
"375","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","9","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"375","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","36","3.846","94.4",".",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"430
Sheep Production","001","","19","3.658","73.7","5.3","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"432
Swine Production","001","","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Ornithology","001","","14","2.821","21.4",".","35.7","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"521","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"521","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","","Page 35 of 430"
