"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"799","120","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","100","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"838","001","","32","3.719","59.4","28.1","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"838","003","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Computing","Course Total","","38","3.737","60.5","28.9","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"880
Topics in Theortcl Comp Sci","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"899","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","090","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","46","",".",".",".",".",".",".",".","97.8",".",".",".","2.2",".",".",".","."
"900","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Seminar - Computer Science","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915
Computn&Informatcs in Biol&Med","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 205 of 430",""
