"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Life Drawing I","232
001","","13","3.462","23.1","53.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor I","242
001","","9","3.375","22.2","44.4","11.1",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"","244
001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
002","","9","2.556","44.4","22.2",".",".",".",".","33.3",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","17","3.029","41.2","29.4","11.8",".",".",".","17.6",".",".",".",".",".",".",".",".","."
"","302
001","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","","14","3.321","21.4","42.9","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Color","Course Total","","31","3.597","48.4","32.3","12.9","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","10","3.500","40.0","40.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
312","","9","3.563","44.4","11.1","33.3",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Intermediate Drawing I","Course Total","","22","3.643","45.5","31.8","18.2",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Sculpture II","314
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","316
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","316
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lithography","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Intermediate Painting I","322
001","","10","3.778","70.0",".","20.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Ceramics II","324
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Etching","326
001","","6","3.417","33.3","50.0",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing II","332
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Wood Working","334
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Serigraphy","336
001","","12","3.278","16.7","75.0",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Service Learning in Art","338
001","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","Course Total","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Metal Fabr & Weldng in Sculptr","343
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
001","","12","3.625","58.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","002
346","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn","Course Total","","31","3.790","71.0","22.6","3.2",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Printmaking","348
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
001","","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Glassworking","Course Total","","12","3.083","25.0","25.0","8.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"","366
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Set Design I","372
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","376
001","","13","3.458","30.8","30.8","23.1","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"","376
002","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
376","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","","Page 73 of 430"
