"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
100","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
100","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
100","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
100","15","3.667","66.7","20.0",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","006
100","13","3.615","61.5","7.7","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","15","3.800","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","117","3.722","65.0","19.7","12.0","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"","212
001","20","3.737","55.0","30.0","10.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","212
002","21","3.214","28.6","14.3","47.6",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","212
003","19","3.579","36.8","42.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","60","3.500","40.0","28.3","26.7",".","1.7","1.7",".",".",".",".",".",".","1.7",".",".","."
"Science, Media and Society","251
001","150","3.262","29.3","34.0","17.3","7.3","7.3","2.7","1.3","0.7",".",".",".",".",".",".",".","."
"Comm in Life Sci Industries","270
001","51","3.760","68.6","15.7","11.8",".","2.0",".",".",".",".",".",".",".","2.0",".",".","."
"Print&Electronic Media Dsgn","332
001","18","3.750","66.7","27.8",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","19","3.833","63.2","31.6",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Media for Life Sciences","432
001","48","3.469","47.9","22.9","16.7","4.2","6.3","2.1",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","440
001","20","3.421","40.0","25.0","15.0","5.0","10.0",".",".",".",".",".",".",".","5.0",".",".","."
"Native Amer Envir Iss & Media","444
001","23","3.841","78.3","13.0",".",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Photography for the Sciences","450
001","22","3.690","68.2","4.5","18.2",".","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"Ag Marketing NAMA","477
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
002","40","3.325","50.0","5.0","17.5","15.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Scientific Writing","560
001","22","3.841","77.3","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","22","3.762","59.1","27.3","9.1",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","3","***","","","","","","","","","","","","","","","",""
"Colloq in Life Sci Communicatn","700
001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Concep&Design-Mass Com Rsch","806
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
001","10","4.000","70.0",".",".",".",".",".",".","20.0",".",".",".",".","10.0",".",".","."
"","002
875","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","22","3.974","81.8","4.5",".",".",".",".",".","9.1",".",".",".",".","4.5",".",".","."
"","880
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","880
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","880
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","880
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","5","***","","","","","","","","","","","","","","","",""
"","990
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 5 of 430"
