"CHICANA/O & LATINA/O STUDIE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102
001","12","3.708","58.3","25.0","16.7",".",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Politcs:Multi-Cultural Soc","231
001","12","2.917","16.7","25.0","8.3","25.0","25.0",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Topics in Chicano/a Studies","330
001","1","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Race, Ethnicity, and Media","347
001","16","2.688","6.3","12.5","50.0","12.5","6.3","6.3","6.3","",".",".","",".",".","",".","","",".",".",".","."
"American West Since 1850","462
001","42","3.417","33.3","42.9","14.3","2.4","2.4","4.8",".",".","",".","",".",".","",".","","",".",".",".","."
"Adv Topc-Chicana/o&Latina/o St","530
002","10","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"","699
004","7","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"","699
005","1","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","699
011","1","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Directed Study","Course Total","9","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"CHICLA
228","Dept. Total","102","3.372","43.1","25.5","16.7","5.9","4.9","2.9","1.0","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","2.955","28.6","28.6","14.3",".","14.3","14.3",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","36","3.202","30.6","25.0","22.2","11.1","8.3","2.8",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","27","3.434","40.7","29.6","18.5","3.7","3.7","3.7",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","31","3.593","61.3","22.6","9.7","3.2",".",".","3.2","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","101","3.365","42.6","25.7","16.8","5.9","5.0","3.0","1.0","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","102","3.372","43.1","25.5","16.7","5.9","4.9","2.9","1.0","",".","",".",".","",".","",".","",".",".",".","."
