"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","158","2.519","14.6","3.2","32.9","8.2","25.9","11.4","3.8",".",".",".",".",".",".",".",".","."
"","002
101","164","2.488","15.9","5.5","28.0","6.7","26.8","11.6","5.5",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","322","2.503","15.2","4.3","30.4","7.5","26.4","11.5","4.7",".",".",".",".",".",".",".",".","."
"","102
001","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","13","2.846","7.7","7.7","61.5","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","003
102","15","3.500","46.7","26.7","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","12","3.042",".","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","7","3.071","14.3",".","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
102","6","2.917",".","16.7","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
007","9","2.944","11.1","11.1","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
008","14","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
102","11","3.045","9.1","36.4","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"","010
102","12","3.458","25.0","58.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
102","11","3.227","27.3","36.4","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","102
013","16","3.500","37.5","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","014
102","6","3.083","33.3","50.0",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","015
102","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","017
102","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","172","3.259","22.7","32.0","29.1","11.6","2.9","1.2","0.6",".",".",".",".",".",".",".",".","."
"General Botany","130
001","40","2.838","20.0","10.0","32.5","7.5","22.5","7.5",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","329","2.801","14.9","8.8","41.0","9.7","18.5","5.2","1.8",".",".",".",".",".",".",".",".","."
"","152
001","259","2.916","11.6","12.4","45.6","10.4","16.6","1.5","0.4",".",".",".",".",".","0.8",".",".","0.8"
"","152
002","293","2.756","8.5","6.8","45.4","13.3","20.1","4.1","0.3",".",".",".",".",".","1.4",".",".","."
"","152
003","19","3.474","42.1","26.3","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","152
004","21","3.429","38.1","23.8","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","152
005","20","3.400","40.0","30.0","20.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","152
007","19","3.579","47.4","26.3","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","152
008","19","3.421","36.8","15.8","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","152
009","22","3.659","63.6","13.6","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","152
010","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
152","19","3.472","47.4","15.8","26.3",".",".","5.3",".",".",".",".",".",".","5.3",".",".","."
"Introductory Biology","Course Total","713","2.992","18.9","11.9","40.3","10.1","14.7","2.5","0.3",".",".",".",".",".","1.0",".",".","0.3"
"Entering Research Part 1","260
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","261
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","261
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Entering Research Part 2","Course Total","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","2","***","","","","","","","","","","","","","","","",""
"","375
001","34","3.985","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
375","15","3.533","80.0",".",".","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"","375
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 176 of 430",""
