"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","250
001","","50","2.810","6.0","26.0","32.0","16.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","250
002","","21","3.000","23.8","14.3","28.6","14.3","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","71","2.866","11.3","22.5","31.0","15.5","11.3","8.5",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255
001","","59","3.339","30.5","30.5","33.9",".","1.7",".","3.4",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310
001","","60","2.933","20.0","10.0","38.3","16.7","8.3","5.0","1.7",".",".",".",".",".",".",".",".","."
"","311
001","","48","3.052","20.8","18.8","31.3","16.7","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","311
002","","22","2.975","13.6","13.6","27.3","27.3","9.1",".",".",".",".",".",".",".",".","9.1",".","."
"Thermodynamics of Mixtures","Course Total","","70","3.029","18.6","17.1","30.0","20.0","8.6","2.9",".",".",".",".",".",".",".","2.9",".","."
"Intro Transport Phenomena","320
001","","63","2.794","15.9","11.1","25.4","27.0","14.3","4.8","1.6",".",".",".",".",".",".",".",".","."
"","324
001","","11","3.455","45.5","18.2","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","002
324","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","16","3.438","31.3","25.0","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
324","","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","53","3.519","35.8","35.8","26.4",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326
001","","62","3.032","25.8","17.7","17.7","21.0","14.5","3.2",".",".",".",".",".",".",".",".",".","."
"Biomolecular Engr Lab","361
002","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","52","2.913","25.0","11.5","23.1","9.6","26.9","3.8",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","30","2.983","23.3","6.7","23.3","36.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440
001","","59","3.220","35.6","15.3","28.8","1.7","16.9","1.7",".",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","56","3.071","28.6","12.5","21.4","19.6","17.9",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
001","","52","2.990","21.2","15.4","28.8","17.3","13.5","3.8",".",".",".",".",".",".",".",".",".","."
"","489
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Chem and Business","505
001","","31","3.000","16.1","32.3","35.5",".","6.5","3.2","6.5",".",".",".",".",".",".",".",".","."
"Stem Cell Bioengineering","520
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Heterogeneous Catalysis","535
001","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plastics & High Polymer Lab","541
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
002","","9","3.538","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","008
562","","12","3.706","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
009","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","562
011","","7","3.429","42.9",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","44","3.690","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instrmntl Anal-Chem Engr","575
001","","17","3.471","29.4","35.3","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 112 of 430",""
