"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHARMACEUTICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","",""
"PHM SCI
718","Dept. Total","1096","3.449","45.4","17.3","18.4","5.2","3.2","1.0","0.1","3.7","",".","4.3","",".","0.7","0.5",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","3.250","30.0","15.0","35.0","15.0","5.0",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","58","3.543","51.7","17.2","24.1","5.2",".","1.7",".",".","",".",".","",".",".",".",".",".","."
"Junior","","70","3.729","61.4","24.3","12.9","1.4",".",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","152","3.663","77.0","4.6","9.9","3.3","2.0","3.3",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","300","3.628","65.3","12.3","15.0","4.0","1.3","2.0",".",".","",".",".","",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","142","3.628","21.1","3.5","6.3",".",".",".",".","28.9","",".","33.1","",".","5.6","1.4",".",".","."
"Prof Yr 1","","379","3.348","37.2","26.4","22.7","7.4","5.0","0.8",".",".","",".",".","",".",".","0.5",".",".","."
"Prof Yr 2","","265","3.429","46.0","18.1","23.0","6.4","4.5","0.8","0.4",".","",".",".","",".",".","0.4",".","0.4","."
"Prof Yr 3","","9","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","653","3.380","41.7","22.7","22.5","6.9","4.7","0.8","0.2",".","",".",".","",".",".","0.5",".","0.2","."
"","Dept. Total","1096","3.449","45.4","17.3","18.4","5.2","3.2","1.0","0.1","3.7","",".","4.3","",".","0.7","0.5",".","0.1","."
