"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Numerical Linear Algebra","513
001","18","3.625","50.0","22.2","11.1",".","5.6",".",".",".",".",".",".",".","5.6",".",".","5.6"
"Intro to Theory of Computing","520
001","50","2.765","26.0","10.0","8.0","12.0","36.0","6.0",".",".",".",".",".",".",".",".",".","2.0"
"Linear Programming Methods","525
001","11","3.550","45.5","27.3","9.1",".","9.1",".",".",".","9.1",".",".",".",".",".",".","."
"","536
001","54","3.226","40.7","24.1","13.0","9.3","1.9","3.7","5.6",".",".",".",".",".",".",".",".","1.9"
"","536
002","68","3.463","33.8","50.0","5.9","7.4",".",".","2.9",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","Course Total","122","3.360","36.9","38.5","9.0","8.2","0.8","1.6","4.1",".",".",".",".",".",".",".",".","0.8"
"","537
001","79","3.498","46.8","19.0","25.3","6.3",".",".","1.3",".",".",".",".",".",".",".",".","1.3"
"","537
002","63","3.435","50.8","15.9","22.2","4.8","4.8",".","1.6",".",".",".",".",".",".",".",".","."
"","537
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","143","3.474","49.0","17.5","23.8","5.6","2.1",".","1.4",".",".",".",".",".",".",".",".","0.7"
"","002
540","91","3.006","28.6","17.6","26.4","12.1","5.5","1.1","7.7","1.1",".",".",".",".",".",".",".","."
"","003
540","92","3.228","41.3","12.0","20.7","9.8","13.0","3.3",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","Course Total","183","3.118","35.0","14.8","23.5","10.9","9.3","2.2","3.8","0.5",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552
001","17","2.500","11.8","17.6","29.4",".","23.5","5.9","11.8",".",".",".",".",".",".",".",".","."
"Computer Graphics","559
001","48","2.844","22.9","22.9","14.6","12.5","14.6","8.3","4.2",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","564
001","121","3.524","37.2","32.2","28.1","0.8",".",".",".","0.8",".",".",".",".",".",".",".","0.8"
"Intro to Humn-Comp Interaction","570
001","59","3.627","42.4","40.7","16.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","577
001","136","3.311","39.0","19.1","22.1","7.4","9.6","2.2",".",".",".",".",".",".",".",".","0.7","."
"","002
577","76","3.243","43.4","17.1","13.2","10.5","11.8","1.3","2.6",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","Course Total","212","3.287","40.6","18.4","18.9","8.5","10.4","1.9","0.9",".",".",".",".",".",".",".","0.5","."
"Tools & Envirnmt-Optimizatn","635
001","12","3.458","25.0","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","638
001","30","3.467","43.3","20.0","26.7","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"","003
638","6","3.333",".","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Computing","Course Total","36","3.444","36.1","30.6","22.2","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640
001","68","3.201","29.4","25.0","19.1","11.8","11.8",".","1.5","1.5",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","097
699","12","3.778","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","699
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","22","3.909","95.5",".",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Princ of Programming Langs","704
001","16","3.615","25.0","50.0","6.3",".",".",".",".","12.5",".",".",".",".","6.3",".",".","."
"Computational Complexity","710
001","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math II","715
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Integer Programming","001
720","12","3.625","50.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization II","730
001","24","3.630","45.8","29.2","20.8",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"Advanced Operating Systems","736
001","42","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Computer Networks","740
001","25","3.739","64.0","12.0","12.0","4.0",".",".",".","8.0",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 203 of 430",""
