"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","84","4.000","8.3",".",".",".",".",".",".","88.1",".",".",".",".","3.6",".",".","."
"Sm Animal Emrgncy&Crit Care I","576
001","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","79","4.000","96.2",".",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","84","3.506","34.5","38.1","21.4","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","79","3.570","49.4","21.5","25.3","1.3","2.5",".",".",".",".",".",".",".",".",".",".","."
"Swine Medicine","635
001","79","3.563","49.4","15.2","34.2","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","25","4.000","52.0",".",".",".",".",".",".","48.0",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","22","4.000","22.7",".",".",".",".",".",".","77.3",".",".",".",".",".",".",".","."
"","670
001","36","4.000","27.8",".",".",".",".",".",".","72.2",".",".",".",".",".",".",".","."
"","670
002","10","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","46","4.000","28.3",".",".",".",".",".",".","71.7",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","38","4.000","31.6",".",".",".",".",".",".","65.8",".",".",".",".","2.6",".",".","."
"","675
001","35","4.000","65.7",".",".",".",".",".",".","34.3",".",".",".",".",".",".",".","."
"","675
002","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
003","28","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"","675
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
006","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
007","22","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","675
008","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
009","85","",".",".",".",".",".",".",".","68.2",".",".",".",".","25.9",".","5.9","."
"","675
015","84","",".",".",".",".",".",".",".","44.0",".",".",".",".","52.4",".","3.6","."
"","675
021","79","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","79","4.000","2.5",".",".",".",".",".",".","97.5",".",".",".",".",".",".",".","."
"Special Topics","Course Total","472","4.000","11.2",".",".",".",".",".",".","73.1",".",".",".",".","14.0",".","1.7","."
"","678
001","32","4.000","40.6",".",".",".",".",".",".","59.4",".",".",".",".",".",".",".","."
"","002
678","9","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","41","4.000","39.0",".",".",".",".",".",".","61.0",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","24","4.000","45.8",".",".",".",".",".",".","54.2",".",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","025
699","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","699
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","20","3.948","80.0","5.0",".",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"Production Medicine IV","707
001","16","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
