"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"350
Parasitology","001","","6","3.000","16.7",".","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","11","3.318","36.4","27.3","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"514
Veterinary Parasitology","001","","84","3.274","32.1","16.7","38.1","2.4","9.5","1.2",".",".",".",".",".",".",".",".",".","."
"515
Reg Vet Med & Public Health","001","","80","3.886","77.5","20.0","1.3",".",".",".",".",".",".",".",".",".",".",".","1.3","."
"526
Active, Integrated Learning II","001","","84","4.000","86.9",".",".",".",".",".",".","11.9",".",".",".",".","1.2",".",".","."
"561
Veterinary Systemic Path II","001","","85","3.618","43.5","38.8","15.3","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"562
Veterinary Clinic Pathology","001","","85","3.667","54.1","29.4","10.6","3.5","1.2",".",".",".",".",".",".",".","1.2",".",".","."
"660
Vet Necropsy Rotation","001","","33","4.000","75.8",".",".",".",".",".",".","24.2",".",".",".",".",".",".",".","."
"675","001","","163","",".",".",".",".",".",".",".","77.3",".",".",".",".","22.7",".",".","."
"675","002","","34","4.000","26.5",".",".",".",".",".",".","73.5",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","197","4.000","4.6",".",".",".",".",".",".","76.6",".",".",".",".","18.8",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","27","3.970","55.6","3.7",".",".",".",".",".","40.7",".",".",".",".",".",".",".","."
"775","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","43","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790
Immunol-Infectious Disease","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930
Advanced Seminar","011","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 423 of 430",""
