"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","765
006","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
765","36","3.639","36.1","55.6","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","192","3.666","64.1","25.0","7.3","3.1","0.5",".",".",".",".",".",".",".",".",".",".","."
"Qual-Based Marketing Insights","805
001","20","3.725","60.0","35.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Quant Models in Marketing","815
001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","972
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Marketing","990
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
160","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Marketing PhD","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
