"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","3884","3.187","32.9","17.8","18.9","8.0","8.8","2.6","1.9","6.2","0.1","1.9","0.2","0.2","0.2",".","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","98","2.795","31.6","7.1","23.5","12.2","16.3","5.1","4.1",".",".",".",".",".",".",".",".","."
"Sophomore","","485","2.939","25.8","12.4","27.4","13.0","13.4","3.7","2.3","0.4",".","1.6",".",".",".",".",".","."
"Junior","","831","2.962","25.9","15.9","23.7","11.9","13.2","4.0","2.8",".",".","1.9","0.2",".","0.2",".","0.1","0.1"
"Senior","","1407","3.155","31.6","19.7","21.2","8.5","10.2","3.1","2.1","0.6","0.1","2.5","0.1","0.1","0.1",".",".","0.1"
"Undergraduates","","2821","3.052","28.9","16.9","23.1","10.4","11.8","3.5","2.4","0.4","0.0","2.1","0.1","0.0","0.1",".","0.0","0.1"
"Special","","152","3.390","39.5","30.3","14.5","5.3","3.3","1.3","2.6","1.3",".","1.3",".",".","0.7",".",".","."
"Graduate","","915","3.715","44.4","18.5","7.0","1.2","0.4",".","0.2","25.0","0.2","1.5","0.2","0.8","0.1",".","0.1","0.3"
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","3889","3.187","33.0","17.8","19.0","8.0","8.8","2.6","1.9","6.2","0.1","1.9","0.2","0.2","0.2",".","0.1","0.2"
