"","301
002","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","301
003","","20","3.775","80.0","15.0",".",".",".","5.0",".",".",".","",".",".","",".","",".",".",".","."
"Social Studies Topics in EAS","Course Total","","40","3.559","62.5","22.5","7.5",".",".","2.5","2.5",".","",".",".","",".","",".","2.5",".",".","."
"Directed Study","699
001","","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"E A STDS
298","Dept. Total","","99","3.311","42.4","26.3","14.1","8.1","2.0","1.0","3.0","1.0","",".",".","",".","",".","2.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","8","3.240","50.0",".","25.0","25.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","15","3.383","46.7","26.7","6.7","13.3","6.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","33","3.398","45.5","33.3","12.1","6.1",".",".","3.0",".","",".",".","",".","",".",".",".",".","."
"Senior","","","41","3.223","39.0","26.8","14.6","4.9","2.4","2.4","4.9",".","",".",".","",".","",".","4.9",".",".","."
"Undergraduates","","","97","3.313","43.3","26.8","13.4","8.2","2.1","1.0","3.1",".","",".",".","",".","",".","2.1",".",".","."
"Special","","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","","99","3.311","42.4","26.3","14.1","8.1","2.0","1.0","3.0","1.0","",".",".","",".","",".","2.0",".",".","."
