"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","421","003","","25","3.000","20.0","20.0","32.0","12.0","12.0",".","4.0",".",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","","Course Total","","66","2.848","18.2","22.7","27.3","7.6","12.1","7.6","4.5",".",".",".",".",".",".",".",".","."
"","431","001","","29","2.862","31.0","10.3","20.7","10.3","17.2","3.4","6.9",".",".",".",".",".",".",".",".","."
"","431","002","","41","3.073","31.7","14.6","24.4","9.8","14.6","2.4","2.4",".",".",".",".",".",".",".",".","."
"","431","003","","36","2.600","16.7","13.9","30.6","8.3","8.3","8.3","11.1","2.8",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","","Course Total","","106","2.857","26.4","13.2","25.5","9.4","13.2","4.7","6.6","0.9",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","","23","2.761","17.4","13.0","21.7","8.7","34.8","4.3",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461","001","","37","3.176","37.8","10.8","18.9","18.9","10.8","2.7",".",".",".",".",".",".",".",".",".","."
"History of Mathematics","473","001","","29","3.500","44.8","27.6","17.2","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","","21","3.262","47.6","14.3","14.3","9.5","4.8","9.5",".",".",".",".",".",".",".",".",".","."
"Topics in Undergrad Math","491","001","","9","3.333","33.3","22.2","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513","001","","14","2.964","28.6","28.6",".","21.4","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"Ordinary Differentl Equations","519","001","","11","3.409","36.4","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","521","002","","29","3.414","27.6","44.8","13.8","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"","521","003","","22","2.818","31.8","13.6","4.5","22.7","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"","521","005","","30","3.362","40.0","20.0","10.0","23.3","3.3",".",".",".",".",".",".",".",".",".","3.3","."
"Analysis I","","Course Total","","81","3.231","33.3","27.2","9.9","18.5","7.4",".","2.5",".",".",".",".",".",".",".","1.2","."
"Analysis II","522","001","","18","3.294","38.9",".","38.9","11.1","5.6",".",".",".",".",".",".",".",".",".","5.6","."
"Linear Programming Methods","525","001","","23","2.826","26.1","13.0","17.4","13.0","17.4","13.0",".",".",".",".",".",".",".",".",".","."
"Probability Theory","531","001","","38","3.118","50.0","7.9","10.5","10.5","7.9","10.5","2.6",".",".",".",".",".",".",".",".","."
"","541","001","","31","2.774","22.6","19.4","16.1","12.9","12.9","12.9","3.2",".",".",".",".",".",".",".",".","."
"","541","002","","28","2.089","17.9",".","21.4","3.6","21.4","21.4","14.3",".",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","59","2.449","20.3","10.2","18.6","8.5","16.9","16.9","8.5",".",".",".",".",".",".",".",".","."
"Modern Algebra","542","001","","50","3.260","50.0","12.0","10.0","10.0","8.0",".","6.0","4.0",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","22","3.364","54.5","13.6","9.1","13.6",".","9.1",".",".",".",".",".",".",".",".",".","."
"Differential Geometry","561","001","","14","3.269","57.1","7.1",".",".","21.4","7.1",".","7.1",".",".",".",".",".",".",".","."
"Analysis of PDE","619","001","","22","3.600","54.5","9.1","22.7",".","4.5",".",".","9.1",".",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","19","3.474","52.6","15.8","10.5","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","632","001","","34","2.838","32.4","14.7","14.7","5.9","11.8","20.6",".",".",".",".",".",".",".",".",".","."
"","632","002","","14","3.286","50.0","7.1","14.3","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","","48","2.969","37.5","12.5","14.6","6.3","14.6","14.6",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","151","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","267","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math-2","704","001","","33","3.303","24.2","45.5","15.2","9.1","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","710","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Computatnl Math II","715","001","","31","3.645","54.8","25.8","12.9","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","15","3.600","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
