"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","10","3.750","40.0","40.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","101
002","21","3.381","52.4","19.0","9.5","9.5","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","004
101","12","3.682","58.3","16.7","8.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"","101
006","16","3.469","43.8","31.3","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","101
008","16","3.469","37.5","18.8","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
101","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
101","15","3.700","60.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","104","3.550","48.1","26.0","15.4","3.8","2.9",".","1.0","2.9",".",".",".",".",".",".",".","."
"","102
001","7","3.500","42.9","14.3","14.3","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"","102
002","20","3.325","10.0","55.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","21","3.675","47.6","33.3","14.3",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","006
102","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
102","12","3.455","25.0","33.3","33.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","102
008","22","3.429","36.4","36.4","13.6",".","4.5","4.5",".","4.5",".",".",".",".",".",".",".","."
"","102
010","16","3.313","12.5","56.3","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","113","3.514","36.3","37.2","17.7","1.8","2.7","0.9",".","3.5",".",".",".",".",".",".",".","."
"","203
002","16","3.000","18.8","25.0","12.5","25.0","18.8",".",".",".",".",".",".",".",".",".",".","."
"","203
004","21","3.381","28.6","47.6","19.0",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","203
005","20","3.368","30.0","35.0","5.0","25.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","007
203","12","3.250","41.7","8.3","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","69","3.265","29.0","31.9","14.5","14.5","7.2",".","1.4","1.4",".",".",".",".",".",".",".","."
"","204
001","17","3.294","29.4","29.4","17.6","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","204
003","19","3.526","47.4","21.1","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","004
204","22","2.750","9.1","18.2","22.7","22.7","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"","006
204","12","2.900","8.3","8.3","33.3","25.0","8.3",".",".","16.7",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","70","3.125","24.3","20.0","22.9","18.6","10.0","1.4",".","2.9",".",".",".",".",".",".",".","."
"","228
001","23","3.441","26.1","47.8","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","002
228","13","3.651","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","22","3.733","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
228","23","3.329","21.7","39.1","21.7","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"","005
228","23","3.309","21.7","43.5","26.1",".",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","104","3.476","29.8","47.1","15.4","4.8","1.0",".","1.0","1.0",".",".",".",".",".",".",".","."
"","271
001","22","3.736","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","24","3.634","45.8","29.2","20.8",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","46","3.685","50.0","32.6","15.2",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Practical French Converstn","302
001","22","3.875","72.7","13.6","4.5",".",".",".",".","4.5",".",".",".",".",".","4.5",".","."
"","312
001","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","19","3.789","57.9","42.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Oral & Written Expression","Course Total","36","3.806","63.9","33.3","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","10","3.722","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"","321
002","16","3.719","68.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","Course Total","26","3.720","61.5","19.2","11.5","3.8",".",".",".",".",".",".",".",".",".",".","3.8","."
"Intro to Lit of Modernity","322
001","27","3.389","14.8","55.6","25.9",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Visual Cultr-Fr/Francophone St","325
001","18","3.667","55.6","33.3","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
