"HISTORY OF SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","",""
"Biology & Society, 1950-Today","133","001","","92","3.360","17.4","44.6","28.3","3.3","3.3",".",".",".",".",".",".",".",".",".","3.3","."
"Making of Modern Science","202","001","","78","3.331","24.4","29.5","34.6","7.7","2.6",".",".",".",".",".",".",".",".","1.3",".","."
"Technol&Social Chng in Hist","222","001","","73","3.621","45.2","38.4","8.2","1.4","1.4","1.4",".","2.7",".",".",".",".",".","1.4",".","."
"Developmnt-Economic Thought","305","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Hist of Science","350","001","","18","3.588","27.8","55.6","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"History of Ecology","353","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Pharmacy","401","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Public Health-America","509","001","","18","3.694","38.9","61.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of the (American) Body","532","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Smr-Hist of Sci","555","001","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"History Medicine-Latin America","564","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: History of Technology","907","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar:Research and Thesis","925","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Science Colloq","950","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Work","999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
