"ALS","","","","","","","","","","","","","","","","","","","","","","",""
"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","","","",""
"LAND ARC
520","Dept. Total","224","3.472","47.3","21.4","13.8","6.7","3.1","",".","1.3","3.6","",".",".","",".","",".","2.2","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","11","3.629","63.6","18.2","9.1",".","9.1","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","40","3.632","52.5","30.0","15.0",".",".","",".",".",".","",".",".","",".","",".","2.5",".",".","."
"Junior","","36","3.495","55.6","11.1","22.2","5.6","2.8","",".","2.8",".","",".",".","",".","",".",".",".",".","."
"Senior","","96","3.347","38.5","26.0","14.6","10.4","5.2","",".","2.1","1.0","",".",".","",".","",".","2.1",".",".","."
"Undergraduates","","183","3.452","46.4","23.5","15.8","6.6","3.8","",".","1.6","0.5","",".",".","",".","",".","1.6",".",".","."
"Special","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","37","3.658","51.4","10.8","5.4","5.4",".","",".",".","18.9","",".",".","",".","",".","5.4","2.7",".","."
"Prof Yr 4","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","224","3.472","47.3","21.4","13.8","6.7","3.1","",".","1.3","3.6","",".",".","",".","",".","2.2","0.4",".","."
