"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"Soc-Cult of Phys Act","355","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Strategies I","357","001","","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","","27","3.907","88.9","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","45","3.489","44.4","28.9","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Planning and Teaching Phys Ed","370","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Admin-Ath Training Prgm","400","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fitness Test & Exer Prescript","427","001","","29","3.328","24.1","20.7","51.7","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457","001","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Teaching Secondary PE","462","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Info for Teachers","501","001","","68","3.868","77.9","17.6","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523","001","","44","3.591","25.0","68.2","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin. Strength & Conditioning","527","001","","15","3.167","20.0","26.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Neural Control of Movement","531","001","","44","3.773","61.4","31.8","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Adm-School Hlth Progms","541","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Alcohol & Drugs","542","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","46","3.554","37.0","41.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","9","3.932","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Metab Respns-Exercis&Stress","774","001","","14","3.179","21.4","21.4","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Exercise Psychology","800","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-Motor Control&Learning","861","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Kinesiology","900","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Human Biodynamics Seminar","953","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","","Page 103 of 430",""
