"PHYSIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","",""
"335
Physiology","001","","383","3.068","34.2","5.2","36.3","2.1","16.2","3.7","1.8",".",".",".",".",".","0.5",".",".","."
"435
Fund of Human Physiology","001","","133","3.342","47.4","7.5","30.1","5.3","5.3","4.5",".",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"611
Systems Neuroscience","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","007","","24","3.167","12.5","41.7","25.0","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"675","008","","24","3.313","16.7","54.2","12.5","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"675","009","","24","3.333","29.2","20.8","41.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Physiology","Course Total","","72","3.271","19.4","38.9","26.4","6.9","8.3",".",".",".",".",".",".",".",".",".",".","."
"699","006","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Prin of Human Physiology","001","","174","",".",".",".",".",".",".",".","98.9","0.6",".",".",".","0.6",".",".","."
"901
Seminar","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","31","",".",".",".",".",".",".",".","96.8",".",".",".","3.2",".",".",".","."
