"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","9","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","13","3.980","92.3","7.7",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","24","3.990","95.8","4.2",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","6","3.750","83.3",".","16.7","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","96","3.939","24.0","2.1",".","",".","",".","",".","",".","68.8","",".",".","",".","3.1","",".",".","2.1","."
"Prof Yr 1","","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","3","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
