"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"CRB","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","23","3.927","91.3","4.3","4.3","",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","31","3.928","90.3","6.5","3.2","",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Special","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","85","3.735","45.9","28.2","4.7","",".","",".","",".","",".","16.5","",".",".",".","2.4",".",".","2.4","."
"Prof Yr 3","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
121","3.785","56.2","23.1","4.1","",".","",".","",".","",".","13.2","",".",".",".","1.7",".",".","1.7","."
