"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","5","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","16","4.000","87.5",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","6.3",".","6.3","."
"Senior","23","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","44","4.000","95.5",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","2.3",".","2.3","."
"Prof Yr 2","7","3.292","42.9","14.3","28.6","",".","",".","",".","",".","14.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","30","3.534","43.3","20.0","33.3","",".","",".","",".","",".",".","",".",".","",".","",".",".",".","3.3","."
"Prof Yr 4","136","3.799","63.2","24.3","5.9","",".","",".","",".","",".","6.6","",".",".","",".","",".",".",".",".","."
"Professionals","173","3.684","59.0","23.1","11.6","",".","",".","",".","",".","5.8","",".",".","",".","",".",".",".","0.6","."
