"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","7","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","10","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","59","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","100.0","."
"Prof Yr 3","","41","3.512","29.3","46.3","22.0","2.4","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","7","3.750","71.4","14.3","14.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","48","3.538","35.4","41.7","20.8","2.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
