"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","94","3.489","37.2","36.2","20.2","3.2",".","1.1","1.1","1.1",".",".",".",".",".",".",".","."
"Global Phys Environments","120","001","133","3.135","18.8","27.8","31.6","12.8","6.0","2.3","0.8",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","77","3.127","24.7","22.1","28.6","5.2","13.0","3.9",".","1.3",".",".",".",".",".",".","1.3","."
"Digital Globe:GIScience & Tech","170","001","99","3.265","34.3","22.2","19.2","12.1","10.1",".","1.0","1.0",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","24","3.125","25.0","25.0","20.8","16.7","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","9","3.333","33.3","44.4","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","9","3.429","33.3","22.2","11.1",".","11.1",".",".","22.2",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Geog of Social Organization","301","001","10","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","58","3.417","37.9","25.9","19.0","3.4","5.2",".","1.7","6.9",".",".",".",".",".",".",".","."
"People, Land and Food","309","001","16","2.700","25.0","12.5","25.0","6.3","6.3","6.3","12.5","6.3",".",".",".",".",".",".",".","."
"Geomorphology","320","001","14","3.607","50.0","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","31","2.828","6.5","12.9","41.9","19.4","9.7",".","3.2",".",".",".",".",".",".","6.5",".","."
"Environmental Conservation","339","001","38","2.811","10.5","2.6","47.4","13.2","23.7",".",".","2.6",".",".",".",".",".",".",".","."
"World Regions in Global Contxt","340","001","157","3.101","12.7","28.0","40.1","4.5","1.3","1.3","3.8","7.6",".",".",".",".",".",".","0.6","."
"Geography of Wisconsin","342","001","155","3.193","21.3","21.9","27.7","9.0","4.5","1.3","1.3","12.9",".",".",".",".",".",".",".","."
"The American West","344","001","34","3.621","52.9","20.6","17.6","5.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"Europe","349","001","92","3.466","43.5","16.3","25.0","7.6","3.3",".",".","3.3",".",".",".",".","1.1",".",".","."
"Quantitative Meth-Geog Anal","360","001","31","3.274","32.3","29.0","16.1","12.9","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","39","3.192","12.8","33.3","35.9","15.4","2.6",".",".",".",".",".",".",".",".",".",".","."
"Inter Envir Remote Sensing","372","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","48","3.156","22.9","27.1","22.9","12.5","14.6",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","54","3.472","35.2","29.6","29.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Geography","475","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Space&Place-A Geog Expernce","501","001","25","4.000","96.0",".",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Urban Spatial Patterns&Thry","505","001","12","3.364","16.7","33.3","41.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Hist Geog-European Urbanztn","506","001","29","3.889","72.4","20.7",".",".",".",".",".","3.4",".",".",".",".","3.4",".",".","."
"Culture and Environment","537","001","16","3.321","25.0","18.8","37.5",".","6.3",".",".",".",".",".",".",".","6.3","6.3",".","."
"Adv Quantitative Methods","560","001","23","3.565","43.5","26.1","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"GIS Applications","578","001","27","3.796","85.2","11.1",".",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"","602","004","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","602","010","6","",".",".",".",".",".",".",".",".",".","50.0",".",".",".",".",".","."
"Internship","","Course Total","14","",".",".",".",".",".",".",".",".",".","78.6",".",".",".",".",".","."
"","676","001","30","3.850","76.7","16.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676","002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Geography","","Course Total","38","3.882","81.6","13.2","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 228 of 430",""
