"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","98","3.005","14.3","20.4","40.8","9.2","13.3",".","2.0",".",".",".",".",".",".",".",".","."
"","002
300","96","3.005","11.5","19.8","40.6","16.7","10.4","1.0",".",".",".",".",".",".",".",".",".","."
"","003
300","102","2.824","14.7","16.7","26.5","16.7","19.6","4.9","1.0",".",".",".",".",".",".",".",".","."
"","300
004","93","2.898","14.0","20.4","28.0","17.2","16.1","3.2","1.1",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","389","2.932","13.6","19.3","33.9","14.9","14.9","2.3","1.0",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Mngmnt & Applications","442
001","24","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling & Analysis","620
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Planning&Control","654
001","34","3.882","79.4","17.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","48","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","50","3.550","38.0","34.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","46","3.685","54.3","30.4","13.0","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","144","3.576","38.9","38.2","22.2","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","732
001","50","3.530","36.0","38.0","22.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
732","48","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
732","56","3.634","48.2","35.7","12.5","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","154","3.571","39.6","38.3","19.5","1.9","0.6",".",".",".",".",".",".",".",".",".",".","."
"","765
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","17","3.667","35.3","47.1","5.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","003
765","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","031
765","33","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","70","3.752","55.7","40.0","1.4",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Sustainable Approaches","770
001","21","3.738","57.1","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
157","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sustainable Design","860
001","19","3.778","52.6","42.1",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
