"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"PHY THER","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","4","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","6","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 1","254","3.641","44.1","32.7","7.5","",".","",".","",".","",".","",".","",".","15.4","",".","",".","0.4",".",".","."
"Prof Yr 2","229","3.749","56.8","23.6","1.3","",".","",".","",".","",".","",".","",".","17.5","",".","",".","0.9",".",".","."
"Prof Yr 3","78","",".",".",".","",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"Prof Yr 4","6","3.529","16.7","66.7",".","",".","",".","",".","",".","",".","",".","16.7","",".","",".",".",".",".","."
"Professionals","567","3.689","42.9","24.9","3.9","",".","",".","",".","",".","",".","",".","27.9","",".","",".","0.5",".",".","."
