"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Intro-Mus Cult of the World","103
001","96","3.688","51.0","33.3","10.4","2.1",".",".",".","1.0",".",".",".",".","1.0","1.0",".","."
"Opera","105
001","78","3.577","65.4","6.4","16.7","1.3","10.3",".",".",".",".",".",".",".",".",".",".","."
"","113
001","712","3.964","97.5","1.3","0.6",".","0.1","0.1","0.4",".",".",".",".",".",".",".",".","."
"","113
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
113","296","3.934","93.9","3.0","1.7",".","0.3",".","0.7","0.3",".",".",".",".",".",".",".","."
"","113
004","128","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","1137","3.955","85.6","1.6","0.8",".","0.2","0.1","0.4","11.3",".",".",".",".",".",".",".","."
"","122
001","21","3.333","19.0","38.1","38.1",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","122
002","20","3.175","25.0","20.0","30.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","41","3.256","22.0","29.3","34.1","7.3","7.3",".",".",".",".",".",".",".",".",".",".","."
"","151
001","34","3.574","55.9","17.6","17.6","2.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","151
002","50","3.245","50.0","10.0","10.0","14.0","8.0","2.0","4.0","2.0",".",".",".",".",".",".",".","."
"","003
151","33","3.641","66.7","9.1","9.1","6.1","6.1",".",".",".",".",".",".",".",".",".",".","3.0"
"Basic Concepts-Music Theory","Course Total","117","3.452","56.4","12.0","12.0","8.5","6.8","0.9","1.7","0.9",".",".",".",".",".",".",".","0.9"
"","172
101","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
102","11","3.273","18.2","18.2","63.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
103","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","41","3.415","31.7","19.5","48.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music and Society","201
001","30","3.586","63.3","6.7","10.0","13.3","3.3",".",".","3.3",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","271","3.613","49.8","25.8","14.0","4.8","1.5",".",".","4.1",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","212
001","27","3.333","48.1","11.1","25.9","3.7","3.7","7.4",".",".",".",".",".",".",".",".",".","."
"Musica Practica 4","222
001","17","3.559","41.2","35.3","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","254
022","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Conducting","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
041","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
101","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
196","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
296","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
020","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
