"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"Topics Seminar-Educ Leadership","Course Total","","106","3.931","86.8","5.7","3.8",".",".",".",".","0.9",".",".",".",".","2.8",".",".","."
"965
Smr-Politics of Education","001","","10","3.444","20.0","50.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","14","",".",".",".",".",".",".",".","64.3",".",".",".","21.4",".","14.3",".","."
"990","042","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".","14.3",".",".","."
"990","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","67","",".",".",".",".",".",".",".","83.6",".",".",".","11.9","1.5","3.0",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","057","","17","4.000","82.4",".",".",".",".",".",".",".",".",".",".",".","17.6",".",".","."
"999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","203","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","41","3.981","70.7","2.4",".",".",".",".",".","2.4",".",".",".",".","22.0",".","2.4","."
