"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","","","","",""
"Junior","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","5","***","","","","","","","","","","","","100.0","",".","",".",".",".",".","."
"Undergraduates","8","4.000","37.5",".",".",".",".","",".",".",".","",".","62.5","",".","",".",".",".",".","."
"Graduate","4","***","","","","","","","","","","","","100.0","",".","",".",".",".",".","."
"Prof Yr 1","570","3.714","0.2","0.4",".",".",".","",".",".","94.2","",".","4.6","",".","",".","0.2",".",".","0.5"
"Prof Yr 2","1404","3.462","36.4","23.3","34.9","3.2","0.9","",".","0.2","0.1","",".","0.9","",".","",".",".",".",".","."
"Prof Yr 3","37","3.027","8.1","13.5","51.4","18.9","2.7","",".",".",".","",".","5.4","",".","",".",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","","100.0","",".","",".",".",".",".","."
"Professionals","2013","3.451","25.6","16.6","25.3","2.6","0.7","",".","0.1","26.8","",".","2.1","",".","",".","0.0",".",".","0.1"
