"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof and Acad Writing Skills","350
001","13","",".",".",".",".",".","",".",".",".","",".","","100.0",".",".","","",".",".",".","."
"International TA Training","370
001","1","***","","","","","","","","","","","","",".",".",".","","",".",".",".","."
"ESL
351","Dept. Total","593","3.494","18.4","12.3","4.9","3.2","1.3","",".","0.5","",".","",".","56.8","2.5","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","133","3.467","20.3","12.0","8.3","3.8","0.8","",".","0.8","",".","",".","50.4","3.8","",".","",".",".",".","."
"Sophomore","","213","3.620","23.5","15.5","4.7","2.3","0.9","",".",".","",".","",".","51.6","1.4","",".","",".",".",".","."
"Junior","","79","3.375","24.1","13.9","3.8","3.8","2.5","",".","2.5","",".","",".","45.6","3.8","",".","",".",".",".","."
"Senior","","50","3.338","26.0","26.0","10.0","12.0","6.0","",".",".","",".","",".","20.0",".","",".","",".",".",".","."
"Undergraduates","","475","3.494","22.9","15.4","6.1","4.0","1.7","",".","0.6","",".","",".","46.9","2.3","",".","",".",".",".","."
"Special","","55","",".",".",".",".",".","",".",".","",".","",".","92.7","7.3","",".","",".",".",".","."
"Graduate","","74","",".",".",".",".",".","",".",".","",".","",".","100.0",".","",".","",".",".",".","."
"Prof Yr 4","","3","***","","","","","","","","","","","","","100.0",".","",".","",".",".",".","."
"Professionals","","3","***","","","","","","","","","","","","","100.0",".","",".","",".",".",".","."
"","Dept. Total","607","3.494","18.0","12.0","4.8","3.1","1.3","",".","0.5","",".","",".","57.8","2.5","",".","",".",".",".","."
