"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Thry&Pract-Argument&Debate","262","001","81","3.181","17.3","33.3","27.2","17.3","1.2","1.2","1.2",".",".",".",".",".","1.2",".",".","."
"Thry&Pract-Group Discussion","266","001","62","3.145","19.4","19.4","41.9","16.1","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","133","3.515","36.1","42.1","15.8","3.8","0.8","1.5",".",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325","001","117","2.956","17.1","28.2","21.4","12.8","9.4","6.0","2.6","2.6",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","97","3.247","9.3","42.3","41.2","5.2","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","40","3.188","20.0","37.5","22.5","10.0","7.5",".","2.5",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","154","2.977","12.3","24.0","32.5","15.6","9.7","0.6","2.6","1.9",".",".",".",".","0.6",".",".","."
"Introduction to Television","351","001","113","2.995","8.8","30.1","31.9","18.6","4.4","2.7","1.8","0.9",".",".",".",".","0.9",".",".","."
"Film History Since 1960","353","001","47","3.304","12.8","38.3","42.6","4.3",".",".",".","2.1",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","109","3.227","17.4","38.5","33.9","4.6",".","1.8","2.8","0.9",".",".",".",".",".",".",".","."
"History of Animated Film","357","001","94","3.081","12.8","33.0","29.8","14.9","5.3","1.1","2.1","1.1",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","58","3.216","27.6","24.1","31.0","8.6","3.4","5.2",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","94","3.048","22.3","21.3","20.2","24.5","7.4","1.1","2.1","1.1",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370","001","76","2.986","18.4","22.4","22.4","19.7","7.9","6.6",".",".",".",".",".",".","1.3",".","1.3","."
"The Rhetoric of Religion","374","001","48","3.223","6.3","52.1","25.0","8.3","6.3",".",".","2.1",".",".",".",".",".",".",".","."
"Cultural Hist of Broadcasting","450","001","24","3.891","79.2","12.5","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Television Criticism","451","001","40","3.282","10.0","40.0","42.5","5.0",".",".",".",".",".",".",".",".","2.5",".",".","."
"Critical Film Analysis","454","001","19","3.632","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Film","460","001","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","001","16","3.469","37.5","56.3",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","465","002","15","3.615","40.0","26.7","20.0",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","31","3.534","38.7","41.9","9.7",".",".",".","3.2",".",".",".",".",".","6.5",".",".","."
"Writing for TV & Film","466","001","15","3.133","13.3","13.3","60.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","14","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rhetoric and Technology","472","001","93","3.108","17.2","30.1","28.0","15.1","5.4","4.3",".",".",".",".",".",".",".",".",".","."
"","522","001","13","3.500","23.1","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522","002","13","3.538","23.1","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digitally Doc Everyday Comm","","Course Total","26","3.519","23.1","57.7","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rhetorical Theory","570","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575","001","34","3.368","32.4","20.6","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics of Online Relatnshps","577","001","20","2.775","10.0","25.0","25.0","20.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","608","001","24","3.478","8.3","75.0","12.5",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","608","002","31","3.355","22.6","51.6","9.7","6.5","9.7",".",".",".",".",".",".",".",".",".",".","."
"Spec Tpcs:Media & Cultural St","","Course Total","55","3.407","16.4","61.8","10.9","3.6","5.5",".",".",".",".",".",".",".","1.8",".",".","."
"Special Topics in Production","609","001","16","3.719","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610","001","20","3.750","55.0","25.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","610","002","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610","003","21","3.700","42.9","47.6","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Topics-Rhetoric&Pub Address","","Course Total","52","3.735","53.8","30.8","9.6",".",".",".",".",".",".",".",".",".","5.8",".",".","."
"","613","001","39","3.132","17.9","28.2","30.8","12.8","5.1",".","2.6","2.6",".",".",".",".",".",".",".","."
"","613","002","17","3.281","29.4","17.6","23.5","23.5",".",".",".","5.9",".",".",".",".",".",".",".","."
"Special Topics in Film","","Course Total","56","3.176","21.4","25.0","28.6","16.1","3.6",".","1.8","3.6",".",".",".",".",".",".",".","."
