"","990
125","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"","990
126","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Research","Course Total","73","",".",".",".",".",".",".",".","71.2","1.4",".","",".","27.4",".",".",".","."
"Seminar in Genetics","993
001","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"GENETICS
412","Dept. Total","624","3.290","45.2","11.5","15.4","4.8","7.4","1.8","0.8","8.3","0.2",".","",".","3.2","0.8",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","67","3.315","83.6","4.5","1.5",".","4.5","4.5","1.5",".",".",".","",".",".",".",".",".","."
"Junior","","89","2.820","37.1","10.1","13.5","10.1","21.3","4.5","3.4",".",".",".","",".",".",".",".",".","."
"Senior","","249","3.377","47.8","14.5","20.5","6.4","7.6","1.6","0.4",".",".",".","",".",".","1.2",".",".","."
"Undergraduates","","413","3.248","52.3","11.6","15.5","6.1","9.9","2.7","1.2",".",".",".","",".",".","0.7",".",".","."
"Special","","91","3.316","36.3","17.6","29.7","5.5","4.4",".",".",".",".",".","",".",".","2.2",".","4.4","."
"Graduate","","119","3.722","26.9","6.7","4.2",".","0.8",".",".","43.7","0.8",".","",".","16.8",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","624","3.290","45.2","11.5","15.4","4.8","7.4","1.8","0.8","8.3","0.2",".","",".","3.2","0.8",".","0.6","."
