"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"502
Molec & Metabolic Basis of Med","001","","84","3.232","33.3","13.1","36.9","4.8","10.7",".","1.2",".",".",".",".",".",".",".",".","."
"505
Vet Neuroanatomy&Neurophys","001","","85","3.659","65.9","10.6","16.5","3.5","3.5",".",".",".",".",".",".",".",".",".",".","."
"506
Veterinary Physiology B","001","","84","3.411","33.3","26.2","33.3","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"550
Anat-Lrge Domestic Animals","001","","84","3.458","47.6","14.3","23.8","13.1",".","1.2",".",".",".",".",".",".",".",".",".","."
"555
Veterinary Toxicology","001","","85","3.135","17.6","29.4","29.4","9.4","14.1",".",".",".",".",".",".",".",".",".",".","."
"556
Veterinary Pharmacology","001","","86","3.446","38.4","26.7","22.1","4.7","5.8",".",".","1.2",".",".",".",".","1.2",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"775","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
