"HEBREW (HEBREW AND SEMITI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Hebrew","102","001","","14","3.679","64.3","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Biblical Hebrew, II","104","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hebrew","202","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Hebrew Literature","302","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Biblical Hebrew, II","304","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Modern Hebrew Lit II","402","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aramaic II","702","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Class Hebrw Lingstcs:Hist&Desc","723","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pentateuchal Legal Codes","744","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"","990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"HEBR ST
440","","Dept. Total","","63","3.765","58.7","19.0","7.9","1.6",".",".",".","9.5",".",".",".",".","3.2",".",".","."
