"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","233","3.279","35.2","24.5","11.2","23.6","3.9","1.3","0.4",".",".",".",".",".",".",".",".","."
"","002
300","241","3.306","32.8","30.3","11.2","17.4","7.1","0.8",".","0.4",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","474","3.293","34.0","27.4","11.2","20.5","5.5","1.1","0.2","0.2",".",".",".",".",".",".",".","."
"","305
001","23","3.130","39.1","4.3","26.1","4.3","26.1",".",".",".",".",".",".",".",".",".",".","."
"","002
305","33","3.015","24.2","15.2","30.3",".","30.3",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","56","3.063","30.4","10.7","28.6","1.8","28.6",".",".",".",".",".",".",".",".",".",".","."
"","320
001","63","3.643","49.2","33.3","14.3","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","320
003","68","3.243","23.5","29.4","20.6","25.0","1.5",".",".",".",".",".",".",".",".",".",".","."
"","004
320","59","3.297","30.5","23.7","25.4","15.3","5.1",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","190","3.392","34.2","28.9","20.0","14.7","2.1",".",".",".",".",".",".",".",".",".",".","."
"","325
001","28","3.375","35.7","25.0","28.6","7.1",".","3.6",".",".",".",".",".",".",".",".",".","."
"","325
002","34","3.235","32.4","17.6","23.5","23.5",".","2.9",".",".",".",".",".",".",".",".",".","."
"","003
325","46","3.239","26.1","21.7","37.0","8.7","4.3","2.2",".",".",".",".",".",".",".",".",".","."
"","325
004","36","3.361","27.8","30.6","30.6","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","144","3.295","29.9","23.6","30.6","11.8","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"","330
001","52","3.275","26.9","25.0","25.0","17.3","3.8",".",".","1.9",".",".",".",".",".",".",".","."
"","330
002","53","3.142","22.6","20.8","26.4","22.6","7.5",".",".",".",".",".",".",".",".",".",".","."
"","330
003","42","3.286","26.2","26.2","31.0","11.9","4.8",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","147","3.229","25.2","23.8","27.2","17.7","5.4",".",".","0.7",".",".",".",".",".",".",".","."
"","365
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","16","3.594","56.3","12.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
005","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
365","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","54","3.776","75.9","11.1","11.1","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","63","3.452","33.3","33.3","28.6","3.2",".","1.6",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","420
001","19","3.526","42.1","21.1","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","34","3.353","29.4","23.5","41.2",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","18","3.583","44.4","27.8","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","29","3.552","37.9","34.5","27.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","700
031","43","3.988","95.3","2.3",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Investment Theory&Practice","720
030","58","3.448","17.2","55.2","27.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Valuatn&Corp Investmnt Decisns","726
001","29","3.536","51.7","10.3","27.6","3.4","3.4",".",".",".",".",".",".",".",".",".","3.4","."
"Raising Capital&Financing Firm","727
001","13","3.423","30.8","23.1","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Portfolio Mgt","736
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal-Fixed Income Securities","740
001","17","3.567","47.1","11.8","23.5","5.9",".",".",".","11.8",".",".",".",".",".",".",".","."
"","745
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","745
031","33","3.803","60.6","39.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","Course Total","38","3.829","65.8","34.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate Restrctrng&Reorgnztn","755
001","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
