"TERM : 1154","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","","Office of the Registrar",""
"Spring 2014-2015","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stdt Tchg-Elem School Art","423
001
3","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"Stdt Tchg-Secondary Sch Art","424
001
3","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"","999
061
2","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"","999
065
1","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"Adv Independent Reading","Course Total
3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART ED
176","9
Dept. Total","3.538","66.7","",".","33.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".  
."
"Summary by Level","#","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","6","3.500","50.0","",".","50.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".  
."
"Undergraduates","6","3.500","50.0","",".","50.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".  
."
"Graduate","3","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"","Dept. Total
9","3.538","66.7","",".","33.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".  
."
"July 26, 2015","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 78 of 430"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.","","","","","","","","","","","","","","","","","","","","","","","","","",""
