"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","294","3.699","62.9","24.1","6.8","4.4","0.7","0.3","0.3",".",".",".",".",".","0.3",".",".","."
"Voice Training","140
001","8","3.571","50.0","25.0",".",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"","150
001","17","3.813","82.4",".",".","11.8",".",".",".","5.9",".",".",".",".",".",".",".","."
"","150
002","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
150","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
150","19","3.605","57.9","10.5","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","150
009","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
150","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","131","3.885","85.5","6.9","4.6","2.3",".",".",".","0.8",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","16","3.750","93.8",".",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","161
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","162
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","250
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
250","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","270
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Traditions in Dramatic Lit","324
001","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"History: Stage Costume","327
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Acting Realism","350
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","15","3.633","66.7","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","002
357","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
357","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","42","3.798","78.6","9.5","7.1","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","12","3.957","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
002","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","22","3.863","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound for Theatre","001
371","16","3.625","43.8","31.3","12.5","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"Set Design I","372
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance Repertory","421
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp World Theatre & Lit","424
001","27","3.630","63.0","7.4","25.9",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Musical Performnc for Actor","440
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 330 of 430",""
