"TERM : 1154","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2014-2015","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHYSICIAN ASSISTANT PROGRA Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"759
002","4","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Course Total
Phys Asst Precptrshp: Emrg Med","13","3.923","84.6","15.4",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"769
001","28","3.964","92.9","7.1",".",".","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"769
002","11","4.000","100.0",".",".",".","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"Course Total
Phy Asst Preceptorship:Electve","39","3.974","94.9","5.1",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"PHY ASST
Dept. Total
750","594","3.644","23.6","22.6","13.0","2.0","",".","",".","",".","",".","",".","38.9","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","477","3.383","14.5","27.0","15.7","2.5","",".","",".","",".","",".","",".","40.3","",".","",".","",".",".",".","."
"Prof Yr 2","117","3.942","60.7","4.3","1.7",".","",".","",".","",".","",".","",".","33.3","",".","",".","",".",".",".","."
"Professionals","594","3.644","23.6","22.6","13.0","2.0","",".","",".","",".","",".","",".","38.9","",".","",".","",".",".",".","."
"Dept. Total","594","3.644","23.6","22.6","13.0","2.0","",".","",".","",".","",".","",".","38.9","",".","",".","",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","","","","","","","Page 388 of 430",""
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.","","","","","","","","","","","","","","","","","","","","","","","","","",""
