"ALS","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (C A L S)","Section","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ways of Knowing:Med&Society","152
001","17","4.000","100.0",".","",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Intro-Int'l Issues Ag&Life Sci","165
001","44","4.000","100.0",".","",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"WISE Seminar","175
001","16","4.000","100.0",".","",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"World Hunger & Malnutrition","350
001","4","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","375
001","10","4.000","100.0",".","",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"","375
002","15","4.000","100.0",".","",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Special Topics","Course Total","25","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"INTER-AG
494","Dept. Total","106","3.988","99.1","0.9","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","49","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","24","3.955","95.8","4.2","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","13","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","106","3.988","99.1","0.9","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","106","3.988","99.1","0.9","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
