"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"990","112","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","195","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","231","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","240","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","242","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","256","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","261","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","262","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","299","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","57","",".",".",".",".",".",".",".","70.2",".",".",".","29.8",".",".",".","."
"992
Seminar","001","","24","3.825","62.5","20.8","4.2",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"998
Statistical Consulting","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"STAT
932","Dept. Total","","2854","3.259","38.8","18.1","19.8","7.7","8.0","3.1","1.2","2.2","0.0","0.0",".","0.6","0.0","0.1","0.1","0.1"
