"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Internatl Relations","103","001","253","2.910","12.6","21.7","24.5","21.3","15.4","3.2",".","0.4",".",".",".",".",".",".","0.8","."
"Intro-Amer Politcs&Governmt","104","001","331","2.969","10.9","20.8","32.9","22.7","9.1","1.5","0.3","1.2",".",".",".",".","0.3",".",".","0.3"
"Research Methods in Poli Sci","200","001","54","3.389","33.3","35.2","14.8","13.0","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","156","3.493","31.4","46.8","11.5","5.1","2.6","0.6",".","0.6",".",".",".",".","0.6",".",".","0.6"
"Law, Politics and Society","217","001","22","3.429","40.9","27.3","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","4.5"
"Understndng Politcl Numbers","218","001","51","3.353","45.1","27.5","15.7",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","44","2.864","13.6","18.2","38.6","13.6","4.5","9.1","2.3",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","20","3.375","50.0","20.0","15.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","002","6","3.273","33.3","33.3",".",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","23","3.457","47.8","21.7","13.0","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Political Psych","267","001","42","3.207","21.4","33.3","19.0","16.7","4.8","2.4",".",".",".",".",".",".",".",".","2.4","."
"Political Choice and Strategy","274","001","51","2.794","17.6","31.4","13.7","9.8","15.7","2.0","9.8",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","22","3.222","13.6","36.4","9.1","18.2","4.5",".",".","18.2",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Human Rights","317","001","86","3.488","32.6","37.2","19.8","5.8","1.2",".",".","2.3",".",".",".",".",".","1.2",".","."
"Probs-Amer Foreign Policy","359","001","165","3.343","36.4","23.0","23.0","7.9","3.0","1.2","1.8","1.2",".",".",".",".","2.4",".",".","."
"Anal of Internatl Relations","376","001","52","2.804","21.2","15.4","19.2","15.4","17.3","5.8","3.8","1.9",".",".",".",".",".",".",".","."
"","400","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","19","3.833","73.7","10.5","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","401","002","16","3.219","50.0","18.8",".","12.5","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"","401","003","22","3.068","13.6","31.8","36.4","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","57","3.357","43.9","21.1","17.5","7.0","5.3",".","3.5","1.8",".",".",".",".",".",".",".","."
"Constitutional Law","412","001","93","3.483","32.3","35.5","24.7","2.2","2.2",".",".",".",".",".",".",".","1.1",".","2.2","."
"Administrative Law","420","001","48","3.553","41.7","35.4","10.4","10.4",".",".",".",".",".",".",".",".",".","2.1",".","."
"United States Congress","426","001","56","3.152","21.4","26.8","30.4","14.3","3.6","1.8","1.8",".",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Criminal Law and Justice","452","001","207","3.048","16.4","27.5","28.0","13.0","12.6","1.0","1.4",".",".",".",".",".",".",".",".","."
"Challenge of Democratizatn","505","001","47","3.362","36.2","36.2","8.5","10.6","6.4",".","2.1",".",".",".",".",".",".",".",".","."
"","506","001","44","3.443","29.5","50.0","4.5","11.4","4.5",".",".",".",".",".",".",".",".",".",".","."
"","506","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","506","003","19","3.237","26.3","47.4","15.8",".",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","","Course Total","67","3.381","28.4","49.3","7.5","9.0","3.0","1.5","1.5",".",".",".",".",".",".",".",".","."
"Intro Stat Computing-Poli Sci","553","001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","601","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","004","22","3.432","50.0","40.9",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","601","005","12","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","601","006","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 295 of 430",""
