"","990
100","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
102","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
200","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research and Thesis","Course Total","58","",".",".",".",".",".",".","",".","89.7","1.7",".","",".","8.6","",".",".",".","."
"NTP
682","Dept. Total","412","3.680","56.3","7.5","5.8","2.2","1.9","0.7","",".","23.1","0.5",".","",".","1.2","",".","0.7",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"682
NTP","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","36","3.490","61.1","11.1","13.9","2.8","8.3","2.8","",".",".",".",".","",".",".","",".",".",".","."
"Senior","","224","3.698","76.8","9.4","7.6","3.1","1.8","0.9","",".",".",".",".","",".",".","",".","0.4",".","."
"Undergraduates","","263","3.665","74.9","9.5","8.4","3.0","2.7","1.1","",".",".",".",".","",".",".","",".","0.4",".","."
"Special","","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","128","3.804","22.7","3.9","0.8",".","0.8",".","",".","64.8","1.6",".","",".","3.9","",".","1.6",".","."
"Prof Yr 3","","6","3.917","50.0","16.7",".",".",".",".","",".","33.3",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","13","3.714","23.1",".","7.7",".",".",".","",".","69.2",".",".","",".",".","",".",".",".","."
"Professionals","","19","3.808","31.6","5.3","5.3",".",".",".","",".","57.9",".",".","",".",".","",".",".",".","."
"","Dept. Total","412","3.680","56.3","7.5","5.8","2.2","1.9","0.7","",".","23.1","0.5",".","",".","1.2","",".","0.7",".","."
