"ITALIAN (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","10","2.850","10.0","40.0","10.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"","101
003","","11","2.500","18.2","9.1","9.1","36.4","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"","101
004","","19","3.316","15.8","36.8","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","","19","3.237","31.6","31.6","10.5","5.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"","007
101","","15","2.964","26.7","6.7","33.3","13.3","6.7",".","6.7",".",".",".",".",".","6.7",".",".","."
"","009
101","","16","3.688","62.5","25.0","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","","90","3.157","28.9","25.6","20.0","10.0","10.0","2.2","2.2",".",".",".",".",".","1.1",".",".","."
"","102
003","","18","3.528","55.6","11.1","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","004
102","","18","3.583","50.0","27.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","005
102","","14","3.607","50.0","35.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
006","","7","3.357","28.6","42.9",".","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","007
102","","11","3.273","27.3","27.3","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
013","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","","83","3.542","48.2","26.5","14.5","7.2","3.6",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","201
002","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","","13","3.375","38.5","23.1","15.4",".","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"","003
203","","15","3.071","20.0","20.0","20.0","20.0","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"","004
203","","17","3.000","17.6","23.5","35.3",".","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","","45","3.128","24.4","22.2","24.4","6.7","15.6","2.2",".","4.4",".",".",".",".",".",".",".","."
"","204
001","","16","3.594","62.5","12.5","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","204
003","","10","3.450","40.0","30.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","","26","3.538","53.8","19.2","15.4","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","","9","3.875","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Writing Workshop","312
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Film","460
001","","9","3.875","77.8",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Il Settecento","621
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dante's Divina Commedia","659
001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","799
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues-Mthds Teachng Fr&Itl","821
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","952
001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
